,ORG,PER,LOC,DATE,Mean
lug,0.99232864,0.9649832,0.9954321,0.98930985,0.98551345
kin,0.9919448,0.9588132,0.99517775,0.98919344,0.9837823
nya,0.9923849,0.96066767,0.9927977,0.9857611,0.9829028
sna,0.9876244,0.9592457,0.9905571,0.9913911,0.98220456
zul,0.9848037,0.9594251,0.98648906,0.9837418,0.9786149
xho,0.98578286,0.94613194,0.9880489,0.9919567,0.97798014
tsn,0.9875476,0.94891524,0.9814036,0.9846484,0.97562873
luo,0.9797788,0.95381916,0.9884421,0.9794897,0.97538245
wol,0.97911346,0.9566585,0.9817219,0.9769243,0.97360456
hau,0.97649753,0.95485586,0.9760921,0.9852201,0.97316635
swa,0.9781027,0.95333964,0.97566015,0.9743726,0.97036874
ibo,0.9680844,0.95508444,0.98404217,0.9701274,0.9693346
twi,0.97961587,0.9519727,0.9752114,0.9685732,0.96884334
bam,0.96331465,0.95000696,0.97191083,0.97927517,0.9661269
ewe,0.97108054,0.93945646,0.96967256,0.9700284,0.96255946
mos,0.9696684,0.9494648,0.96357495,0.9652233,0.96198285
yor,0.95819366,0.93603927,0.9485568,0.95004666,0.94820905
pcm,0.9526821,0.9370987,0.95316947,0.92186713,0.94120437
fon,0.9424341,0.9336922,0.93720216,0.8815234,0.92371297
bbj,0.9288654,0.92622304,0.8879118,0.9240993,0.91677487
