,LOC,DATE,PER,ORG,Mean
lug,0.99597085,0.9866281,0.97517216,0.994629,0.98810005
kin,0.9948204,0.9869128,0.97173667,0.9912987,0.9861921
nya,0.99287623,0.98631895,0.9732858,0.9911721,0.9859132
sna,0.991678,0.9885502,0.97092104,0.9895635,0.9851782
tsn,0.9856906,0.98435485,0.9692833,0.9882479,0.98189414
xho,0.9902475,0.98960465,0.9564471,0.9895263,0.9814564
zul,0.9890545,0.9824149,0.96952575,0.98211807,0.98077834
luo,0.9883173,0.97985864,0.96710074,0.98352414,0.97970015
wol,0.98243034,0.9739633,0.96553063,0.98160183,0.9758816
hau,0.9777826,0.9831827,0.9638276,0.9782201,0.9757533
ibo,0.9838358,0.96586394,0.96215785,0.9739529,0.9714526
swa,0.97483003,0.97109663,0.9613858,0.97333515,0.9701619
bam,0.96798813,0.9784158,0.9550935,0.96276206,0.9660649
twi,0.9721949,0.95891213,0.952026,0.9780903,0.9653058
ewe,0.9687673,0.9668581,0.94826645,0.97048724,0.9635948
mos,0.95340925,0.9645768,0.9594038,0.9720869,0.9623692
yor,0.9536235,0.9475703,0.94111437,0.95370525,0.9490034
pcm,0.94734025,0.9328523,0.9424671,0.955075,0.9444336
fon,0.9407739,0.8916211,0.9340539,0.944237,0.9276715
bbj,0.8790253,0.9160497,0.92042226,0.9100135,0.9063777
