,LOC,DATE,PER,ORG,Mean
lug,0.6292938,0.5885051,0.6827471,0.6429274,0.6358684
kin,0.6025496,0.56626374,0.6121327,0.6079608,0.59722674
nya,0.5572121,0.54429835,0.6092767,0.5777662,0.57213837
xho,0.57024014,0.58238345,0.5519888,0.57303345,0.5694115
sna,0.5591399,0.5705175,0.55191326,0.57468694,0.5640644
luo,0.5571584,0.52092266,0.59410244,0.5431505,0.5538335
zul,0.5437803,0.5251703,0.55981123,0.57045245,0.5498036
tsn,0.5049452,0.52737504,0.587161,0.55784965,0.54433274
wol,0.5292418,0.49600646,0.5595633,0.5584142,0.5358064
ibo,0.5359798,0.5202116,0.554194,0.5137106,0.531024
twi,0.5079934,0.491872,0.5815546,0.53483236,0.5290631
hau,0.50717217,0.5214402,0.54286677,0.52464354,0.5240307
bam,0.51505804,0.51087177,0.5531984,0.5142355,0.52334094
swa,0.49772513,0.4957647,0.58776796,0.49260613,0.518466
ewe,0.47481257,0.4725357,0.51369613,0.516732,0.49444407
mos,0.49652612,0.45576918,0.5039712,0.5127329,0.49224985
pcm,0.47489947,0.41894904,0.54819083,0.4994142,0.4853634
fon,0.46403247,0.40670487,0.502478,0.48512203,0.46458435
yor,0.4249365,0.44239324,0.44999915,0.42295092,0.43506998
bbj,0.40860686,0.39921397,0.47972274,0.4366983,0.43106046
