,DATE,ORG,PER,LOC,Mean
lug,0.9998295047077058,0.9998892591968602,0.9999746895841806,0.9999570260967884,0.9999126198963838
nya,0.9996119399160425,0.9999694410648583,0.9999733233841569,0.9999496826454238,0.9998760967526203
mos,0.9997634008577025,0.9999561234524589,0.999973034873206,0.9997755813708219,0.9998670351385472
luo,0.9996297110985979,0.9999432235869693,0.9999653341949725,0.9998923715478893,0.9998576601071073
twi,0.9998108855557895,0.9999682632768353,0.999608522238542,0.9999621220531066,0.9998374482810684
bam,0.999760460875728,0.9998952259172718,0.9999595668008763,0.9997166065713837,0.9998329650413149
zul,0.9996795725290906,0.9999627892283364,0.9999589295410575,0.9997056440574522,0.9998267338389841
kin,0.9995550067087534,0.9999378569091835,0.9999701545930127,0.9998392407447418,0.9998255647389229
tsn,0.9994566033486273,0.9999354001395612,0.9999642908966908,0.9999200502419873,0.9998190861567167
xho,0.9997136166076327,0.9998634911089378,0.9999319027725483,0.9997060183112323,0.9998037572000877
swa,0.9997096835047483,0.999576943060968,0.9999790430185799,0.9999365708711088,0.9998005601138513
bbj,0.999801245619689,0.9998223340381504,0.9999680014081328,0.9996001986647268,0.9997979449326747
wol,0.9994178639592348,0.9999745577175073,0.9999731496942589,0.9997629717564247,0.9997821357818565
ewe,0.9994805994843482,0.9999613393801491,0.9998786670935351,0.9997756501152137,0.9997740640183115
sna,0.9994000522379561,0.9999526637527615,0.9998863216528706,0.9998501730450515,0.9997723026721599
ibo,0.9992255033901906,0.9999543626803138,0.9999811676794143,0.9998968624082648,0.9997644740395459
yor,0.9994571620947812,0.9999652396998316,0.9998481094778109,0.9997835138157173,0.9997635062720353
pcm,0.9997389851820497,0.9998045795981872,0.9990314478373762,0.9998542193406449,0.9996073079895644
fon,0.9996275633285094,0.999641193642021,0.9999808277502078,0.9979670887629271,0.9993041683709163
hau,0.988660113891401,0.9986648620231366,0.9991811783817712,0.9995541223768739,0.9965150691682957
