,LOC,PER,ORG,DATE,Mean
lug,0.99774057,0.99822855,0.99575937,0.9848622,0.99414766
kin,0.9959294,0.9934583,0.9925125,0.9881269,0.99250674
nya,0.9933027,0.9951935,0.99395984,0.9829737,0.99135745
sna,0.9927386,0.990282,0.9921409,0.98737377,0.99063385
xho,0.9898251,0.97882175,0.989746,0.988757,0.98678744
luo,0.990839,0.9917507,0.9891298,0.97431356,0.98650825
zul,0.9903912,0.991927,0.9861971,0.97459084,0.98577654
tsn,0.9858377,0.98755705,0.9899813,0.979505,0.9857203
wol,0.98253644,0.98585695,0.9833475,0.9755709,0.9818279
hau,0.9803035,0.9841463,0.9787968,0.98294485,0.98154783
ibo,0.9848132,0.98824006,0.97674704,0.9730319,0.980708
swa,0.9792146,0.98810744,0.9796423,0.9679614,0.9787314
twi,0.97357917,0.98494315,0.9846258,0.9647136,0.9769654
bam,0.97403014,0.9804016,0.96525997,0.97346485,0.97328913
ewe,0.9730129,0.9799143,0.9748368,0.96263963,0.9726009
mos,0.96359634,0.9849379,0.9752058,0.96378434,0.97188103
yor,0.9564183,0.95854175,0.963447,0.943692,0.95552474
pcm,0.9527104,0.973319,0.9590752,0.9222187,0.95183086
fon,0.94712925,0.9683676,0.9521041,0.89952654,0.9417819
bbj,0.8926364,0.9526948,0.8952509,0.91708666,0.91441715
