,ORG,PER,LOC,DATE
bam,0.826842725276947,0.9105058312416077,0.8588413000106812,0.8717665672302246
bbj,0.8640422821044922,0.9259746670722961,0.6953340172767639,0.813044011592865
ewe,0.9119995832443237,0.9345322251319885,0.8747316598892212,0.70354163646698
fon,0.9155478477478027,0.9278255701065063,0.798823893070221,0.841342568397522
hau,0.9353466033935547,0.9304880499839783,0.7961743474006653,0.9302473068237305
ibo,0.9332596659660339,0.928333044052124,0.8460127115249634,0.9462404251098633
kin,0.9483961462974548,0.9406861662864685,0.9167398810386658,0.9367636442184448
lug,0.9204890727996826,0.987194836139679,0.9161891937255859,0.9025061130523682
luo,0.9239243268966675,0.9161919355392456,0.9172709584236145,0.9190611839294434
mos,0.909330427646637,0.9219205975532532,0.843495786190033,0.798418402671814
nya,0.9480398893356323,0.9507552981376648,0.9000271558761597,0.9231725931167603
pcm,0.8863362669944763,0.9422620534896851,0.8956882953643799,0.7344573140144348
sna,0.9370880126953125,0.9438337683677673,0.7921402454376221,0.9490909576416016
swa,0.8994140625,0.9122880697250366,0.9328833818435669,0.8779946565628052
tsn,0.895849347114563,0.9201880693435669,0.873165488243103,0.9259504079818726
twi,0.9534264802932739,0.9471050500869751,0.9152840971946716,0.8847509622573853
wol,0.9289539456367493,0.9310721158981323,0.8182880282402039,0.9145793914794922
xho,0.9109674692153931,0.9168466925621033,0.7708531022071838,0.9529626965522766
yor,0.8849164247512817,0.8334159255027771,0.6925830841064453,0.8382331728935242
zul,0.9254441261291504,0.8972629904747009,0.8538012504577637,0.9294545650482178
