,ORG,PER,LOC,DATE,Mean
lug,0.70638347,0.7916918,0.73745465,0.6602684,0.72394955
nya,0.7285059,0.7503449,0.69837636,0.64716256,0.7060975
kin,0.70722586,0.7116899,0.7278106,0.66883874,0.7038913
sna,0.69651663,0.69636273,0.6958543,0.6659273,0.6886653
luo,0.6892539,0.7390182,0.6797774,0.61676633,0.68120396
twi,0.6907333,0.7185646,0.6468649,0.6198588,0.6690054
xho,0.6489359,0.65336883,0.6632734,0.6768662,0.66061103
ibo,0.6320767,0.70276374,0.6759043,0.63126177,0.6605016
tsn,0.6693174,0.69132495,0.64334786,0.63428444,0.65956867
swa,0.65133893,0.7147602,0.64096403,0.6133059,0.65509224
zul,0.64378107,0.6850022,0.6599356,0.623185,0.652976
hau,0.6444698,0.6700646,0.6414657,0.64288783,0.649722
wol,0.6398227,0.680769,0.64744586,0.62254846,0.64764655
bam,0.6094482,0.65838057,0.64641225,0.6136477,0.6319722
mos,0.6378572,0.6841031,0.6078192,0.5939182,0.6309244
ewe,0.6384417,0.67246556,0.6141452,0.59737813,0.6306076
pcm,0.6263029,0.6855784,0.58614993,0.5317632,0.6074486
fon,0.62158734,0.6501572,0.58810693,0.55227625,0.6030319
yor,0.5964311,0.5997994,0.5857898,0.57113314,0.5882883
bbj,0.56766695,0.6316083,0.5274874,0.5578567,0.57115483
