layer,model,rank_type,language,cosine
1,xlmr,top5,kin,0.9461241719603851
1,xlmr,top5,twi,0.934011285542816
1,xlmr,top5,luo,0.9325431486753029
1,xlmr,top5,ibo,0.9304143206028175
1,xlmr,top5,sna,0.9264263082051215
1,xlmr,worst5,fon,0.8576279462478918
1,xlmr,worst5,hau,0.8662383000994605
1,xlmr,worst5,mos,0.8697388032915712
1,xlmr,worst5,bbj,0.8717543729959824
1,xlmr,worst5,yor,0.8759111305234313
2,xlmr,top5,kin,0.9785434644366187
2,xlmr,top5,twi,0.9742353580442313
2,xlmr,top5,luo,0.9735592187546057
2,xlmr,top5,ibo,0.9727179575467048
2,xlmr,top5,sna,0.9709131534643999
2,xlmr,worst5,fon,0.9436254164991104
2,xlmr,worst5,hau,0.9462621557743843
2,xlmr,worst5,mos,0.9473299108778085
2,xlmr,worst5,pcm,0.949632297194223
2,xlmr,worst5,bbj,0.9509789685564717
3,xlmr,top5,kin,0.984431213281286
3,xlmr,top5,twi,0.9817055529496801
3,xlmr,top5,luo,0.9810226365650107
3,xlmr,top5,zul,0.9787639426434134
3,xlmr,top5,sna,0.9786170599028821
3,xlmr,worst5,hau,0.9607113701464935
3,xlmr,worst5,pcm,0.9627216522462099
3,xlmr,worst5,mos,0.9630394100829998
3,xlmr,worst5,fon,0.963418992954915
3,xlmr,worst5,bbj,0.9651189349454845
4,xlmr,top5,kin,0.9825624909613702
4,xlmr,top5,twi,0.9812584284722335
4,xlmr,top5,luo,0.9793297000757353
4,xlmr,top5,sna,0.9767046741300368
4,xlmr,top5,zul,0.9761162331410906
4,xlmr,worst5,hau,0.9557131353638616
4,xlmr,worst5,pcm,0.9577944103501287
4,xlmr,worst5,fon,0.9599913469762626
4,xlmr,worst5,bbj,0.9604330915478584
4,xlmr,worst5,swa,0.9617418592057516
5,xlmr,top5,kin,0.9835605070659807
5,xlmr,top5,twi,0.9818977630670302
5,xlmr,top5,luo,0.9810722844181411
5,xlmr,top5,sna,0.9788954894686621
5,xlmr,top5,zul,0.9774531798725679
5,xlmr,worst5,hau,0.957785205108913
5,xlmr,worst5,bbj,0.959300321231051
5,xlmr,worst5,pcm,0.9598200757672467
5,xlmr,worst5,fon,0.9606913758388028
5,xlmr,worst5,swa,0.963929279113379
6,xlmr,top5,kin,0.980335903605764
6,xlmr,top5,twi,0.9786447472772574
6,xlmr,top5,luo,0.97721686920156
6,xlmr,top5,zul,0.971742147379347
6,xlmr,top5,nya,0.9707841141017404
6,xlmr,worst5,bbj,0.948935604158036
6,xlmr,worst5,pcm,0.9492391028742152
6,xlmr,worst5,hau,0.9518567397212732
6,xlmr,worst5,fon,0.9537566024174527
6,xlmr,worst5,swa,0.9543477331246604
7,xlmr,top5,kin,0.9845640563902267
7,xlmr,top5,twi,0.9836193124453226
7,xlmr,top5,luo,0.9813359289031642
7,xlmr,top5,zul,0.978142032942434
7,xlmr,top5,sna,0.9773348973491999
7,xlmr,worst5,pcm,0.9601797829149902
7,xlmr,worst5,bbj,0.9602878328383438
7,xlmr,worst5,hau,0.9611459765534388
7,xlmr,worst5,fon,0.9635405875253552
7,xlmr,worst5,swa,0.9641587167900065
8,xlmr,top5,kin,0.9848011229920575
8,xlmr,top5,twi,0.9835670128894916
8,xlmr,top5,luo,0.9813240467719831
8,xlmr,top5,zul,0.977728517193181
8,xlmr,top5,sna,0.9775238575272047
8,xlmr,worst5,pcm,0.9569649302114652
8,xlmr,worst5,hau,0.9578709607049236
8,xlmr,worst5,bbj,0.9599432920220643
8,xlmr,worst5,swa,0.9623619693470752
8,xlmr,worst5,fon,0.963257641460639
9,xlmr,top5,sna,0.983235814752854
9,xlmr,top5,twi,0.9832311393081985
9,xlmr,top5,zul,0.9829110593933446
9,xlmr,top5,kin,0.9822853323355747
9,xlmr,top5,ibo,0.9819109661998399
9,xlmr,worst5,pcm,0.9543182615220077
9,xlmr,worst5,swa,0.9616316752483839
9,xlmr,worst5,lug,0.9642381666526394
9,xlmr,worst5,hau,0.9644523819913389
9,xlmr,worst5,bbj,0.9683920021445107
10,xlmr,top5,twi,0.9826257457025349
10,xlmr,top5,zul,0.9809380939695984
10,xlmr,top5,sna,0.980649528093636
10,xlmr,top5,kin,0.9796939552761614
10,xlmr,top5,ewe,0.9792041152250022
10,xlmr,worst5,pcm,0.9646808214019984
10,xlmr,worst5,bbj,0.9680028804577887
10,xlmr,worst5,hau,0.9683402883820236
10,xlmr,worst5,bam,0.9687696148175746
10,xlmr,worst5,lug,0.9699875458609313
11,xlmr,top5,twi,0.9834000032860786
11,xlmr,top5,sna,0.9825266660191119
11,xlmr,top5,zul,0.9823569348081946
11,xlmr,top5,kin,0.9822330619208515
11,xlmr,top5,ewe,0.9816526917275041
11,xlmr,worst5,pcm,0.9694647011347115
11,xlmr,worst5,bbj,0.9696939855348319
11,xlmr,worst5,hau,0.9703755786176771
11,xlmr,worst5,bam,0.9720351214054972
11,xlmr,worst5,lug,0.9727833466604352
12,xlmr,top5,kin,0.998575865291059
12,xlmr,top5,twi,0.9985413446556777
12,xlmr,top5,sna,0.9984397944062948
12,xlmr,top5,zul,0.998371907742694
12,xlmr,top5,ewe,0.998327114386484
12,xlmr,worst5,pcm,0.9968380846548826
12,xlmr,worst5,hau,0.9969529376830906
12,xlmr,worst5,bbj,0.9971381835639477
12,xlmr,worst5,lug,0.9972304617986083
12,xlmr,worst5,bam,0.997544310754165
