model,config_id,use_cls,use_context,use_hybrid,max_tokens_per_type,context_window,layer,score,run_dir,csv_path,scope,rank_within_layer
mbert,7,True,True,True,400,1,2,0.9999328147364703,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/mbert/config_7_clstrue_ctxtrue_hybtrue/tokens_400_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/mbert/config_7_clstrue_ctxtrue_hybtrue/tokens_400_ctx1/pearson_to_run_layer2.csv,all_layers,1
mbert,4,True,True,False,400,1,3,0.9999789757699051,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/mbert/config_4_clstrue_ctxtrue_hybfalse/tokens_400_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/mbert/config_4_clstrue_ctxtrue_hybfalse/tokens_400_ctx1/pearson_to_run_layer3.csv,all_layers,1
mbert,4,True,True,False,500,1,10,0.9842103728836129,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/mbert/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/mbert/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx1/pearson_to_run_layer10.csv,all_layers,1
mbert,7,True,True,True,500,1,12,0.9748857575442417,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/mbert/config_7_clstrue_ctxtrue_hybtrue/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/mbert/config_7_clstrue_ctxtrue_hybtrue/tokens_500_ctx1/pearson_to_run_layer12.csv,all_layers,1
xlmr,4,True,True,False,500,2,2,0.999992457845952,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx2,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx2/pearson_to_run_layer2.csv,all_layers,1
xlmr,7,True,True,True,400,1,3,0.9999937451998034,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_400_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_7_clstrue_ctxtrue_hybtrue/tokens_400_ctx1/pearson_to_run_layer3.csv,all_layers,1
xlmr,4,True,True,False,500,1,10,0.9999978659185832,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx1,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_4_clstrue_ctxtrue_hybfalse/tokens_500_ctx1/pearson_to_run_layer10.csv,all_layers,1
xlmr,1,True,False,False,500,0,12,0.9996475387574492,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx0,rq2_train_scripts/Embeddings/EXTENDED/outputs/combined_extended/xlmr/config_1_clstrue_ctxfalse_hybfalse/tokens_500_ctx0/pearson_to_run_layer12.csv,all_layers,1
