,DATE,ORG,LOC,PER
bam,0.9999074935913086,0.9998969435691833,0.9999206066131592,0.9999427795410156
bbj,0.9998053312301636,0.9998485445976257,0.9998045563697815,0.9999209642410278
ewe,0.9998754858970642,0.9998822808265686,0.9998572468757629,0.9999063611030579
fon,0.9996031522750854,0.9999017119407654,0.9998713135719299,0.9997831583023071
hau,0.9999112486839294,0.9999603033065796,0.999957263469696,0.9999779462814331
ibo,0.9999223947525024,0.999868631362915,0.9999181032180786,0.9999526143074036
kin,0.9998658895492554,0.9999333024024963,0.999925971031189,0.999962329864502
lug,0.9999164342880249,0.9999803900718689,0.9999247193336487,0.9999819397926331
luo,0.9999324679374695,0.9998802542686462,0.9999116063117981,0.999872088432312
mos,0.9998798370361328,0.9999107122421265,0.9999454021453857,0.9999359846115112
nya,0.9998772740364075,0.9999626278877258,0.9999535083770752,0.999970555305481
pcm,0.9998237490653992,0.9997835755348206,0.9997686743736267,0.9998463988304138
sna,0.9998098015785217,0.9999616146087646,0.9999704957008362,0.9999503493309021
swa,0.9998800158500671,0.9999012351036072,0.9998957514762878,0.9998923540115356
tsn,0.9999255537986755,0.9999012351036072,0.9998795986175537,0.9999228119850159
twi,0.9998736381530762,0.9999380111694336,0.999914824962616,0.9999353289604187
wol,0.9999052286148071,0.9999034404754639,0.999860405921936,0.9998835921287537
xho,0.9999679327011108,0.9999431371688843,0.9999416470527649,0.9998519420623779
yor,0.9997328519821167,0.9998326301574707,0.9997949600219727,0.9998430609703064
zul,0.9999250173568726,0.9999536275863647,0.9998597502708435,0.999930739402771
