,DATE,PER,LOC,ORG,Mean
hau,0.99554867,0.9996067,0.99952775,0.9995549,0.9985595
ewe,0.9945472,0.9996305,0.99935615,0.9997239,0.99831444
tsn,0.9936459,0.9991908,0.9995845,0.9999126,0.9980835
xho,0.9988417,0.99569637,0.9987496,0.9981129,0.9978501
lug,0.9924248,0.99998194,0.99878836,0.9997978,0.99774826
bam,0.9937357,0.9992351,0.9984495,0.9993897,0.9977025
wol,0.9914095,0.9997348,0.99970543,0.9997208,0.99764264
swa,0.99211705,0.999682,0.99899143,0.9997631,0.9976384
yor,0.99291766,0.99893737,0.99903125,0.99954295,0.9976073
sna,0.9935661,0.9971914,0.9992062,0.99987495,0.99745965
mos,0.99105924,0.9998416,0.999043,0.9996947,0.9974096
luo,0.9901379,0.9999134,0.99892896,0.99971175,0.997173
pcm,0.9899964,0.9996852,0.99916786,0.99967647,0.99713147
zul,0.9984032,0.9968745,0.9934234,0.9989698,0.9969177
kin,0.98854804,0.9999353,0.99921703,0.9998397,0.99688506
twi,0.9890641,0.99974823,0.99862474,0.99952734,0.99674106
nya,0.9900804,0.9979391,0.9987765,0.9997702,0.9966415
ibo,0.9874959,0.9997906,0.998948,0.99956244,0.9964493
bbj,0.98769623,0.9996013,0.997528,0.99924135,0.99601674
fon,0.9880134,0.99773633,0.9987469,0.9987872,0.99582094
