,PER,LOC,ORG,DATE,Mean
lug,0.99983424,0.9996116,0.99963534,0.99940354,0.99962115
kin,0.99961877,0.9993876,0.9993814,0.9992637,0.9994129
nya,0.9996555,0.99926525,0.9993103,0.99934953,0.99939513
luo,0.99953187,0.99926955,0.99910665,0.99920756,0.9992789
sna,0.99922794,0.99928397,0.99929357,0.99926984,0.9992689
tsn,0.9994896,0.9988376,0.9992258,0.9991613,0.9991786
wol,0.9992881,0.9987395,0.9990373,0.9988791,0.998986
zul,0.9989827,0.9990422,0.9988208,0.99864763,0.99887335
ibo,0.9988407,0.9988315,0.99833715,0.9985989,0.99865204
bam,0.998917,0.99827605,0.99809194,0.9987075,0.99849814
twi,0.9987561,0.99850756,0.99849313,0.998146,0.99847573
ewe,0.99872077,0.9983532,0.9985562,0.99820936,0.9984598
xho,0.9991986,0.99852693,0.99809235,0.9976823,0.99837506
pcm,0.99914366,0.99832994,0.99826086,0.9977051,0.9983599
mos,0.9986007,0.99812853,0.9984268,0.99771094,0.99821675
hau,0.99892575,0.99824566,0.99788696,0.99675596,0.99795353
yor,0.9981662,0.99763846,0.99794537,0.99770737,0.99786437
swa,0.99862367,0.99675274,0.9974916,0.9975077,0.9975939
bbj,0.9981901,0.996815,0.9970237,0.9968596,0.99722207
fon,0.99786836,0.996542,0.99755025,0.99612445,0.99702126
