,PER,DATE,ORG,LOC,Mean
lug,0.8749129,0.80266595,0.8290299,0.8578696,0.84111965
kin,0.8250902,0.78970915,0.8191035,0.82227415,0.81404424
nya,0.8189045,0.7828214,0.8081515,0.8068429,0.80418
luo,0.8026717,0.781487,0.785341,0.8122256,0.7954313
sna,0.779636,0.7846018,0.80336344,0.81141675,0.7947545
tsn,0.8115823,0.7815585,0.7968694,0.76468104,0.78867286
wol,0.8027165,0.76462805,0.777266,0.7914243,0.78400874
zul,0.7764119,0.75272644,0.77159476,0.7744131,0.76878655
xho,0.7765127,0.7417614,0.75243366,0.7695377,0.7600613
twi,0.78025556,0.74023277,0.7644924,0.7536744,0.7596638
ibo,0.7703351,0.7549947,0.75128686,0.76087236,0.75937223
bam,0.7812097,0.7486733,0.7434026,0.7521987,0.7563711
ewe,0.7670565,0.74078244,0.764282,0.74359393,0.7539287
pcm,0.789379,0.7136,0.7520106,0.7461379,0.7502819
mos,0.7551749,0.7249843,0.75432044,0.74532735,0.7449517
hau,0.77899384,0.6963165,0.73935235,0.74473417,0.7398492
swa,0.77713764,0.7184355,0.7333331,0.7204025,0.73732716
yor,0.7473502,0.72421575,0.73538506,0.7203802,0.73183286
bbj,0.75152683,0.6990063,0.71314067,0.7051772,0.7172128
fon,0.73378134,0.6859905,0.72649705,0.7022073,0.71211904
