,DATE,PER,ORG,LOC,Mean
kin,0.92214006,0.6651844,0.9329963,0.90848994,0.85720265
lug,0.911626,0.66123104,0.937362,0.90194273,0.85304046
sna,0.9358201,0.59156966,0.91549766,0.8892152,0.83302563
xho,0.93845725,0.61472005,0.90331376,0.8718396,0.8320826
nya,0.887645,0.65661573,0.927778,0.83112204,0.82579017
luo,0.8560468,0.6446208,0.894855,0.8745314,0.81751347
zul,0.8617637,0.6424748,0.883237,0.84014404,0.8069049
wol,0.84863985,0.6416,0.8795212,0.83674824,0.8016273
twi,0.8418822,0.62706566,0.89267087,0.8447027,0.80158037
tsn,0.872279,0.63899755,0.89157355,0.78976536,0.7981539
swa,0.84330755,0.6557995,0.86962724,0.80746794,0.7940506
hau,0.8756131,0.6310122,0.84961945,0.8067455,0.7907476
ibo,0.8740621,0.5808062,0.8244513,0.8713182,0.7876595
bam,0.8363116,0.5673933,0.8082591,0.8418325,0.7634492
ewe,0.76508224,0.5704099,0.8289743,0.78120315,0.7364174
mos,0.752187,0.55206996,0.8595706,0.7621992,0.73150665
pcm,0.6675022,0.631382,0.83732915,0.78063846,0.72921294
fon,0.71525854,0.55127627,0.8256055,0.75830925,0.7126124
bbj,0.71559924,0.5783689,0.7192036,0.6786807,0.6729631
yor,0.75037134,0.50503683,0.69705546,0.70000625,0.66311747
