,LOC,PER,DATE,ORG,Mean
swa,0.9996266,0.9998247,0.9988754,0.9998981,0.9995562
xho,0.9997407,0.99914485,0.999584,0.9992919,0.9994404
hau,0.9995654,0.9998861,0.99835294,0.99992025,0.99943113
sna,0.99905866,0.99980164,0.9986757,0.9999595,0.9993739
lug,0.9990052,0.9999913,0.9984785,0.99994516,0.999355
zul,0.9989402,0.9988168,0.99967194,0.9996928,0.99928045
ewe,0.9991729,0.9999235,0.99813396,0.9998737,0.999276
tsn,0.99933773,0.9996493,0.9981851,0.99982023,0.9992481
pcm,0.99939996,0.9998472,0.997713,0.9999007,0.99921525
yor,0.9993332,0.99941146,0.9980643,0.99972934,0.9991346
wol,0.9996992,0.99990946,0.9970708,0.9998359,0.9991288
luo,0.999361,0.9999594,0.9969239,0.99989635,0.9990352
kin,0.9991033,0.99996305,0.9971321,0.9999357,0.9990335
mos,0.9989346,0.99994236,0.9972811,0.9998677,0.99900645
twi,0.99886596,0.9998975,0.99711895,0.9997863,0.9989172
bam,0.9986115,0.9998474,0.99766946,0.99942046,0.9988872
nya,0.9989616,0.9991591,0.99725974,0.999917,0.99882436
ibo,0.9987869,0.999966,0.9961833,0.99991626,0.99871314
fon,0.99891603,0.99977183,0.99609685,0.999745,0.99863243
bbj,0.99818325,0.9998863,0.99654037,0.9996946,0.9985761
