,DATE,LOC,ORG,PER,Mean
lug,0.9619428,0.9906181,0.9692923,0.93598396,0.96445924
swa,0.9613587,0.96000075,0.9818021,0.9278378,0.95774984
luo,0.97606725,0.9463879,0.9804013,0.9234059,0.95656556
kin,0.9770282,0.9333763,0.9789869,0.9336971,0.95577216
twi,0.9667511,0.9439465,0.9809725,0.93055874,0.9555572
ibo,0.97742367,0.9183264,0.966452,0.92631507,0.9471293
ewe,0.92776656,0.9342364,0.97225535,0.9464736,0.945183
sna,0.98388386,0.8746973,0.9813463,0.9328698,0.9431993
zul,0.9786112,0.86117613,0.96660805,0.9535836,0.9399947
bam,0.9667112,0.89311457,0.952397,0.93810713,0.9375825
hau,0.9847672,0.8478477,0.9648316,0.95177835,0.9373062
tsn,0.97694296,0.8865907,0.9616637,0.92320263,0.93710005
fon,0.95224893,0.8743434,0.9721255,0.945477,0.9360487
nya,0.95303553,0.8903767,0.9794045,0.91314614,0.9339907
xho,0.99366206,0.8082899,0.958828,0.9609841,0.930441
wol,0.9726013,0.82565546,0.9649953,0.95241725,0.9289173
mos,0.93680745,0.86447954,0.96560967,0.94093335,0.9269575
pcm,0.8281081,0.94422615,0.9683753,0.941979,0.9206721
bbj,0.9154648,0.8253601,0.9414159,0.9418684,0.9060273
yor,0.946537,0.8024264,0.94227153,0.87664413,0.89196974
