layer,model,rank_type,language,pearson
2,mbert,top5,lug,0.910391027393125
2,mbert,top5,kin,0.8957921155266444
2,mbert,top5,twi,0.8888754789051592
2,mbert,top5,luo,0.8865643931206737
2,mbert,top5,ibo,0.8864578251308182
2,mbert,worst5,bbj,0.6967923192381652
2,mbert,worst5,yor,0.7167877233593707
2,mbert,worst5,fon,0.7879184107394365
2,mbert,worst5,pcm,0.791030008978642
2,mbert,worst5,mos,0.8011456029362968
3,mbert,top5,lug,0.9452153707152208
3,mbert,top5,kin,0.9395349474799743
3,mbert,top5,twi,0.9310246200990442
3,mbert,top5,ibo,0.9303895801759018
3,mbert,top5,luo,0.9279078291481171
3,mbert,worst5,bbj,0.8069723034767806
3,mbert,worst5,yor,0.8239756060506342
3,mbert,worst5,pcm,0.8677364595989814
3,mbert,worst5,fon,0.8683686907565935
3,mbert,worst5,ewe,0.8794891619877044
10,mbert,top5,lug,0.9822560270990491
10,mbert,top5,kin,0.980302324167328
10,mbert,top5,twi,0.977171960103156
10,mbert,top5,luo,0.9768688930286745
10,mbert,top5,ibo,0.9762958889772033
10,mbert,worst5,bbj,0.9320254927176774
10,mbert,worst5,yor,0.9377844117654613
10,mbert,worst5,fon,0.9483121044632288
10,mbert,worst5,pcm,0.9549922912398245
10,mbert,worst5,ewe,0.9581733998625075
12,mbert,top5,lug,0.940913855590132
12,mbert,top5,kin,0.9172700262863608
12,mbert,top5,nya,0.8995754716445468
12,mbert,top5,sna,0.8971606176513782
12,mbert,top5,luo,0.8932339026008779
12,mbert,worst5,yor,0.7097895208697774
12,mbert,worst5,bbj,0.7213510337773519
12,mbert,worst5,fon,0.7629100890077737
12,mbert,worst5,mos,0.8065429449875032
12,mbert,worst5,pcm,0.8072400075536893
