,DATE,ORG,LOC,PER,Mean
kin,0.99085337,0.9869344,0.9929152,0.9375348,0.9770594
lug,0.9881782,0.98539096,0.99418163,0.9374603,0.97630274
nya,0.9848489,0.9902296,0.9901025,0.93617797,0.9753398
sna,0.9912321,0.98546493,0.98844284,0.93598723,0.9752818
luo,0.97877884,0.98416924,0.9868745,0.9335556,0.97084457
xho,0.9925413,0.9813131,0.9824044,0.92297757,0.96980906
hau,0.9871853,0.9767011,0.9787102,0.9364815,0.9697695
zul,0.98044974,0.9775763,0.982795,0.93616945,0.96924764
tsn,0.9834328,0.9808201,0.97787577,0.9311249,0.9683134
wol,0.9807154,0.9771361,0.9776431,0.9354077,0.9677255
swa,0.97564036,0.9802934,0.9759382,0.9365143,0.96709657
twi,0.97051716,0.9839958,0.97890294,0.9345657,0.9669954
ibo,0.9764328,0.96571314,0.98517144,0.9281052,0.9638556
bam,0.97829235,0.96320796,0.9784373,0.9230955,0.96075827
mos,0.96558934,0.973714,0.96698725,0.92759013,0.95847017
ewe,0.96659726,0.9688635,0.9655515,0.9201381,0.95528764
yor,0.947845,0.95970196,0.9494773,0.91592497,0.9432373
fon,0.92142093,0.96221393,0.9532794,0.9133161,0.9375575
pcm,0.9017191,0.96042097,0.9493762,0.92907435,0.93514764
bbj,0.9253013,0.90708274,0.90285635,0.91918826,0.9136072
