,LOC,PER,DATE,ORG,Mean
lug,0.97509223,0.97923595,0.9201807,0.9668874,0.9603491
kin,0.95040977,0.9529978,0.9227629,0.9504038,0.94414353
nya,0.91007936,0.94532716,0.8914024,0.9334782,0.9200718
sna,0.9178415,0.8991567,0.9205489,0.9245886,0.91553396
xho,0.9151088,0.8766878,0.93456405,0.93165666,0.91450435
luo,0.9121868,0.9445646,0.8740395,0.9198177,0.91265213
zul,0.9086904,0.91581434,0.85862345,0.9119824,0.8987776
tsn,0.85496116,0.92311317,0.8705406,0.9195181,0.8920332
wol,0.86968994,0.9105234,0.84607065,0.90123034,0.8818786
hau,0.8564762,0.8925305,0.8779728,0.8701684,0.874287
ibo,0.87181115,0.8856849,0.8604264,0.85674167,0.86866605
twi,0.84679043,0.9310452,0.8168125,0.8777315,0.8680949
bam,0.8590082,0.8934807,0.85553086,0.83948225,0.86187553
swa,0.83992696,0.92020607,0.8240935,0.8463205,0.8576368
mos,0.8258533,0.85251045,0.7947893,0.8559009,0.83226347
ewe,0.81558967,0.86865413,0.77299905,0.83559,0.8232082
pcm,0.791065,0.8918772,0.7046093,0.8155412,0.80077314
fon,0.7907312,0.8384261,0.7087012,0.8093299,0.7867971
yor,0.73484534,0.7634543,0.73604685,0.73709846,0.7428612
bbj,0.7054033,0.8052044,0.69204193,0.70740914,0.7275147
