,PER,LOC,ORG,DATE,Mean
hau,0.9996272,0.99950004,0.99954146,0.99579036,0.9986148
tsn,0.9991099,0.9996532,0.9998554,0.9939591,0.99814445
ewe,0.9995544,0.9992873,0.9997316,0.9934728,0.9980115
bam,0.9992633,0.99836487,0.99937344,0.9941721,0.99779344
xho,0.9956687,0.99885476,0.9976314,0.998714,0.9977172
lug,0.99998087,0.99902534,0.9998946,0.9913393,0.99756
swa,0.9997078,0.9986865,0.99977,0.99203336,0.9975494
yor,0.9987973,0.9989135,0.999442,0.9929585,0.99752784
sna,0.9974183,0.9992238,0.9998667,0.993194,0.9974257
wol,0.99972606,0.9997084,0.9997466,0.9899956,0.9972942
mos,0.9998112,0.9990743,0.9996863,0.98989445,0.9971165
pcm,0.99964094,0.99935323,0.9997523,0.989703,0.99711233
luo,0.99988633,0.99861985,0.99980485,0.98993105,0.99706054
kin,0.9998927,0.9993297,0.9998885,0.9883619,0.9968682
twi,0.999768,0.99880785,0.9996103,0.9889922,0.9967946
nya,0.99831337,0.99891746,0.9997959,0.98919,0.99655414
ibo,0.9998025,0.99907804,0.99961287,0.987047,0.9963851
zul,0.99642694,0.992076,0.99856234,0.99826664,0.996333
bbj,0.99960005,0.99758255,0.9993584,0.9879559,0.99612427
fon,0.996969,0.9986298,0.9990899,0.9880062,0.9956737
