,DATE,ORG,LOC,PER,Mean
lug,0.92023635,0.9571711,0.959203,0.6694946,0.87652624
kin,0.915903,0.9261647,0.9463652,0.6519027,0.8600839
nya,0.9011984,0.9092454,0.90368974,0.69103736,0.8512927
xho,0.9364809,0.9035524,0.91248554,0.63806677,0.8476464
zul,0.8871051,0.90103954,0.9013518,0.67687595,0.84159315
sna,0.91888607,0.9021343,0.893609,0.64784074,0.84061754
luo,0.86693436,0.8657382,0.89303803,0.6472884,0.8182497
tsn,0.8646154,0.8776768,0.849187,0.6289736,0.8051132
wol,0.83830255,0.85905695,0.8677596,0.6394016,0.80113024
hau,0.87859154,0.83475864,0.8480618,0.6350664,0.7991196
ibo,0.8571078,0.8274869,0.88413036,0.5996483,0.79209334
bam,0.85986173,0.8062233,0.8295032,0.5943645,0.77248824
twi,0.8193991,0.8355761,0.8341462,0.57770973,0.7667078
swa,0.79751647,0.785692,0.77375877,0.6261575,0.7457812
mos,0.7814232,0.8072972,0.79538286,0.5610929,0.73629904
ewe,0.7998623,0.80088365,0.7807744,0.54123753,0.73068947
pcm,0.7154266,0.77859175,0.7628783,0.5406353,0.69938296
fon,0.6885531,0.7473897,0.7408874,0.507548,0.67109454
yor,0.7491387,0.6778078,0.71211195,0.5004101,0.65986717
bbj,0.69050837,0.6739652,0.6754888,0.53837,0.6445831
