,DATE,ORG,PER,LOC,Mean
swa,0.9989006,0.99990696,0.99986845,0.99960476,0.9995702
lug,0.99845177,0.9999416,0.9999921,0.99920136,0.9993967
sna,0.99847317,0.9999581,0.99980336,0.9992198,0.99936354
hau,0.99832845,0.9999188,0.99989754,0.9992673,0.99935305
tsn,0.99832827,0.99977857,0.99971616,0.9994645,0.9993219
xho,0.99965984,0.99886894,0.9989915,0.99975276,0.99931824
pcm,0.99784416,0.9999065,0.9998368,0.9995014,0.9992722
zul,0.9996517,0.99968624,0.99871695,0.9987196,0.99919367
ewe,0.997638,0.99988395,0.99991405,0.99914336,0.99914485
yor,0.9980935,0.99965334,0.99933106,0.9993706,0.9991121
kin,0.99716645,0.9999419,0.9999585,0.99919546,0.99906564
wol,0.99667674,0.9998322,0.9999123,0.9997267,0.999037
twi,0.99708694,0.9998023,0.99985814,0.99910253,0.9989625
luo,0.99675596,0.9999154,0.9999534,0.9992228,0.9989619
mos,0.99693537,0.9998531,0.99993336,0.9991188,0.99896014
bam,0.99772584,0.999389,0.9998593,0.99862707,0.9989003
nya,0.9972236,0.99993134,0.99929786,0.9991276,0.9988951
ibo,0.9959235,0.9999149,0.999967,0.99899185,0.9986993
bbj,0.9966514,0.9997201,0.9998849,0.9983924,0.9986622
fon,0.99602693,0.9998088,0.99973345,0.99872696,0.998574
