,PER,LOC,ORG,DATE,Mean
lug,0.9871026,0.9885076,0.97318083,0.8803681,0.9572898
kin,0.96502197,0.9348927,0.97107255,0.9166805,0.946917
luo,0.98317903,0.93541145,0.973084,0.88892424,0.94514966
ibo,0.96786046,0.8869029,0.9679993,0.9194815,0.93556106
twi,0.9730952,0.92104065,0.97398984,0.8643967,0.9331306
swa,0.9659804,0.94376326,0.9729489,0.8452742,0.9319917
nya,0.97261393,0.8539407,0.97271585,0.8602463,0.9148792
tsn,0.9612943,0.8494127,0.9406339,0.8872965,0.9096593
sna,0.9231345,0.8269023,0.9511386,0.9293706,0.90763646
bam,0.9631945,0.89329076,0.91303915,0.8440635,0.90339696
wol,0.9594677,0.79786426,0.9554057,0.8917496,0.9011218
ewe,0.9747849,0.9359814,0.95058954,0.74025685,0.90040314
fon,0.95593184,0.8491112,0.95401746,0.8424927,0.90038824
hau,0.96242136,0.78887045,0.937026,0.90924495,0.8993907
zul,0.91481674,0.84140694,0.93866515,0.8869363,0.8954563
pcm,0.9796779,0.9226867,0.95823246,0.6813561,0.8854883
xho,0.95285255,0.7408204,0.89037585,0.95273566,0.8841961
mos,0.97056496,0.8204527,0.95472294,0.7783847,0.88103133
bbj,0.968007,0.7366986,0.8794614,0.76634836,0.83762884
yor,0.83158386,0.67953265,0.86143196,0.8280567,0.80015135
