,LOC,DATE,PER,ORG,Mean
lug,0.9997305,0.9993889,0.99646306,0.99939835,0.9987452
kin,0.99956864,0.99933714,0.99639213,0.9991712,0.9986173
nya,0.9994603,0.99924576,0.9962675,0.99913526,0.9985272
luo,0.9994169,0.99927634,0.99617887,0.9990446,0.9984792
sna,0.999456,0.9993539,0.99555475,0.99903864,0.9983508
tsn,0.9989779,0.9992123,0.99593824,0.9989922,0.99828017
wol,0.9992538,0.9990624,0.99603933,0.9985874,0.99823576
zul,0.9990234,0.9987144,0.9959538,0.99849325,0.99804616
twi,0.99850625,0.99840546,0.9962215,0.99837756,0.9978777
bam,0.99864894,0.99886346,0.9959007,0.99779654,0.9978024
ibo,0.9986451,0.998743,0.99557835,0.9982374,0.99780095
xho,0.99892145,0.9982886,0.9957383,0.99822026,0.9977921
ewe,0.99851644,0.9984294,0.9956825,0.99811774,0.9976865
pcm,0.9985189,0.99773955,0.99593115,0.9984212,0.9976527
mos,0.9985261,0.99833375,0.99554306,0.9981317,0.99763364
swa,0.9977737,0.99776846,0.9961237,0.9981607,0.99745667
hau,0.99841344,0.99720484,0.99579835,0.9981909,0.9974019
yor,0.9979422,0.99786514,0.9952458,0.9977495,0.99720067
fon,0.9973371,0.996575,0.9951343,0.99713826,0.99654615
bbj,0.9972569,0.9970042,0.99510574,0.9964675,0.99645853
