,DATE,ORG,PER,LOC,Mean
kin,0.79270494,0.78993946,0.6616734,0.74023384,0.746138
lug,0.7870276,0.79305565,0.6655028,0.7343228,0.7449772
sna,0.78023636,0.77619886,0.6536307,0.7510683,0.74028355
nya,0.76694214,0.7835107,0.663467,0.73288524,0.73670125
luo,0.7735587,0.76260966,0.6623831,0.7375644,0.73402894
wol,0.7809439,0.7550466,0.65474,0.740292,0.73275566
tsn,0.77433383,0.77189946,0.6615473,0.71654654,0.7310818
ibo,0.7767768,0.7496778,0.6591351,0.73093796,0.72913194
twi,0.7507395,0.76376635,0.6646451,0.7210723,0.7250558
zul,0.7563655,0.7479138,0.65863544,0.72161484,0.7211324
xho,0.73411644,0.74986535,0.66160834,0.7357193,0.7203274
ewe,0.7436323,0.7547561,0.6620469,0.71848834,0.71973085
swa,0.7241438,0.7405274,0.6734548,0.72195995,0.7150215
pcm,0.70846343,0.75352156,0.66603875,0.7286784,0.7141755
mos,0.7237249,0.7454268,0.660513,0.72388196,0.71338665
bam,0.728707,0.722713,0.65750873,0.7240524,0.7082453
yor,0.74628735,0.72560906,0.6561786,0.70398706,0.70801556
hau,0.69575197,0.74450934,0.66486347,0.7194717,0.70614916
fon,0.6956079,0.7386364,0.66120255,0.7042858,0.6999332
bbj,0.71341395,0.71695185,0.6585304,0.6998621,0.69718957
