,1,2,3,4,5,6,7,8,9,10,11,12
lug,0.9997125566005707,0.9999509304761887,0.9999762028455734,0.9999115616083145,0.9925090819597244,0.9877423048019409,0.9870451092720032,0.9751387635866801,0.9815771182378134,0.9880812466144562,0.9912440478801727,0.9859920144081116
kin,0.9995722621679306,0.9999304115772247,0.9999734312295914,0.9999296367168427,0.9925932139158249,0.9869704693555832,0.9887866179148356,0.9753293792406718,0.9799240430196127,0.9816444118817648,0.9854340751965841,0.9773679375648499
nya,0.9996123760938644,0.9999328404664993,0.9999700486660004,0.9998980611562729,0.9909224212169647,0.9825688302516937,0.9827043016751608,0.9723158478736877,0.9797135392824808,0.9828827381134033,0.9857597152392069,0.9770089785257975
sna,0.9996150881052017,0.9999294430017471,0.9999696463346481,0.9999147057533264,0.9902334362268448,0.9830018132925034,0.9872653086980184,0.976924995581309,0.9823442498842875,0.9839290777842203,0.985500713189443,0.9768744111061096
hau,0.999714270234108,0.9999515563249588,0.999976858496666,0.9998981058597565,0.9901845455169678,0.9843983203172684,0.9848058621088663,0.9752516746520996,0.9811440706253052,0.9819140632947286,0.9842161536216736,0.9745939175287882
mos,0.9994982928037643,0.9999125748872757,0.9999638646841049,0.9998540878295898,0.9858225733041763,0.9804719537496567,0.983115017414093,0.9680275122324625,0.9748657941818237,0.9771408041318258,0.9760566155115763,0.9686101675033569
tsn,0.999466136097908,0.9999117106199265,0.9999648183584213,0.9998560398817062,0.990431472659111,0.9819771498441696,0.9809329907099406,0.9656721154848734,0.9746080636978149,0.972701221704483,0.9774736762046814,0.9659596383571625
luo,0.9994466602802277,0.9999062567949295,0.9999623149633408,0.9998423010110855,0.9912619739770889,0.9830866456031799,0.9776184757550558,0.9638046026229858,0.970962405204773,0.9748536646366119,0.9811581969261169,0.965879887342453
zul,0.9994813799858093,0.9999127238988876,0.9999663680791855,0.9999035149812698,0.9888293892145157,0.9807547777891159,0.979046106338501,0.9730216066042582,0.9797888199488322,0.9810013771057129,0.9800366759300232,0.9648702144622803
twi,0.9995217174291611,0.9999176561832428,0.999964028596878,0.9998232871294022,0.9886948466300964,0.9803071320056915,0.9827127854029337,0.9699802994728088,0.9767621556917826,0.9789905945460001,0.9821339646975199,0.964182992776235
xho,0.9995852708816528,0.9999315589666367,0.9999649971723557,0.9998908042907715,0.9874022156000137,0.9767158478498459,0.9744602044423422,0.9626191457112631,0.9731735984484354,0.9732012351353964,0.9769249260425568,0.9634818732738495
wol,0.9993024319410324,0.9998846501111984,0.9999551922082901,0.9998241364955902,0.9865918606519699,0.9775776118040085,0.9784544507662455,0.9639784495035807,0.9726916948954264,0.9723909894625345,0.9760091503461202,0.963213582833608
ibo,0.9995105713605881,0.9999174624681473,0.9999681115150452,0.9998836517333984,0.9894619882106781,0.981699749827385,0.9801605939865112,0.9674902558326721,0.974959154923757,0.973196804523468,0.9781669676303864,0.963020384311676
ewe,0.9992131739854813,0.9998738318681717,0.9999458342790604,0.9997604787349701,0.9864944070577621,0.9764681309461594,0.9767033060391744,0.9589149951934814,0.9662686189015707,0.9699955185254415,0.977601021528244,0.9594555497169495
swa,0.9994110018014908,0.9998911619186401,0.9999479502439499,0.9997926503419876,0.9805745631456375,0.9671234637498856,0.9601002931594849,0.9361709554990133,0.949194590250651,0.9560070037841797,0.9653971195220947,0.9566054741541544
yor,0.9987721741199493,0.9997997283935547,0.9999213963747025,0.9997034817934036,0.9741178303956985,0.9587894529104233,0.9559863607088724,0.9381515979766846,0.9486688673496246,0.9500126838684082,0.9521462023258209,0.9413998126983643
bam,0.9994721561670303,0.999915286898613,0.9999606758356094,0.9998271316289902,0.9825941026210785,0.9704206585884094,0.9632201194763184,0.9477367798487345,0.9579132596651713,0.9622864325841268,0.964348167181015,0.9355317652225494
pcm,0.9986468106508255,0.9997952282428741,0.9999125301837921,0.9995682090520859,0.9784828573465347,0.9635658264160156,0.9667763511339823,0.9416942199071249,0.9483543634414673,0.9541918039321899,0.95527716477712,0.9304614365100861
fon,0.9987045228481293,0.999782145023346,0.9999207258224487,0.9997668415307999,0.9765633791685104,0.9607456922531128,0.966503381729126,0.9498726725578308,0.9606034159660339,0.9651678601900736,0.9685949683189392,0.929646631081899
bbj,0.9990043044090271,0.9998423457145691,0.9999318271875381,0.9997140020132065,0.9703338742256165,0.9561494737863541,0.9557515382766724,0.9319951931635538,0.94711701075236,0.9548027316729227,0.9580137530962626,0.8664541244506836
