,DATE,LOC,PER,ORG
bam,,0.9999958872795105,0.9999890327453613,0.9999931454658508
bbj,,0.9999984502792358,0.9999894499778748,0.9999945163726807
ewe,,0.9999869465827942,0.9999926686286926,0.9999951124191284
fon,,0.9999985098838806,0.9999900460243225,0.9999960064888
hau,,0.9999803304672241,0.9999933838844299,0.9999977350234985
ibo,,0.9999955892562866,,0.9999986290931702
kin,,0.9999977350234985,0.9999933242797852,0.9999963641166687
lug,,,0.9999886751174927,0.9999912977218628
luo,,,0.9999947547912598,0.9999967813491821
mos,,0.9999877214431763,0.999993622303009,0.9999983310699463
nya,,0.9999845623970032,0.9999930262565613,0.9999974966049194
pcm,,0.999998927116394,0.9999933242797852,0.9999945759773254
sna,,0.9999988675117493,0.9999957084655762,0.9999958872795105
swa,,0.9999962449073792,0.9999932050704956,0.9999961853027344
tsn,,0.9999756813049316,,0.9999982714653015
twi,,0.9999977946281433,0.9999909400939941,0.9999987483024597
wol,,0.9999904632568359,0.9999886751174927,0.9999959468841553
xho,,0.9999971985816956,0.9999930262565613,0.9999920725822449
yor,,0.9999973773956299,,0.9999980926513672
zul,,0.9999918341636658,0.9999919533729553,0.9999969005584717
