,PER,LOC,DATE,ORG
bam,0.6563900113105774,0.8275457620620728,0.9022645354270935,0.850441038608551
bbj,0.7073492407798767,0.7618393898010254,0.8699549436569214,0.922653317451477
ewe,0.7256991267204285,0.8499694466590881,0.8795654773712158,0.930580735206604
fon,0.7243330478668213,0.7921220064163208,0.8505929112434387,0.9159001111984253
hau,0.6822546124458313,0.7483747601509094,0.8470188975334167,0.9116805195808411
ibo,0.7242845296859741,0.8110120296478271,0.9477015733718872,0.9392174482345581
kin,0.6642305254936218,0.8541558384895325,0.9399353265762329,0.947673499584198
lug,0.6644295454025269,0.909623384475708,0.8690364360809326,0.8577671051025391
luo,0.7157009243965149,0.8872406482696533,0.9142670035362244,0.9322027564048767
mos,0.7206463813781738,0.8152371644973755,0.8391847014427185,0.9238296151161194
nya,0.7057976722717285,0.8148086071014404,0.9138005971908569,0.9351876378059387
pcm,0.6759905219078064,0.8521836996078491,0.7518108487129211,0.8506424427032471
sna,0.6965336203575134,0.8272770643234253,0.9498441815376282,0.9202646017074585
swa,0.6734745502471924,0.8665401339530945,0.7780813574790955,0.8307932615280151
tsn,0.7008998990058899,0.849892258644104,0.9466198682785034,0.9348388910293579
twi,0.7108352184295654,0.8892053961753845,0.9063877463340759,0.9478891491889954
wol,0.6997620463371277,0.7658814191818237,0.9362838268280029,0.9227103590965271
xho,0.7009886503219604,0.7968448400497437,0.9309933185577393,0.9083957076072693
yor,0.6747550368309021,0.7722153663635254,0.8872978687286377,0.913779079914093
zul,0.7057906985282898,0.8490811586380005,0.925579845905304,0.9318397045135498
