,LOC,DATE,ORG,PER
bam,0.9588037133216858,0.9783610105514526,0.9651685953140259,0.8578510284423828
bbj,0.942091703414917,0.9681876301765442,0.9816502928733826,0.8694018721580505
ewe,0.964858889579773,0.9655852317810059,0.9838059544563293,0.8785820007324219
fon,0.9353088140487671,0.9546400308609009,0.9839596152305603,0.8670024871826172
hau,0.8968443870544434,0.9603591561317444,0.970600962638855,0.8725571036338806
ibo,0.9559264183044434,0.988187313079834,0.9893462657928467,0.867009699344635
kin,0.9727717638015747,0.9881036281585693,0.9878666400909424,0.8658677339553833
lug,0.9761220216751099,0.9735788106918335,0.9550364017486572,0.8675081729888916
luo,0.9738631248474121,0.9807804822921753,0.9849148988723755,0.8799336552619934
mos,0.9520478248596191,0.9523460865020752,0.9822302460670471,0.8625736236572266
nya,0.9644232392311096,0.9784863591194153,0.9848248362541199,0.8715581893920898
pcm,0.9672319293022156,0.9414673447608948,0.9763748049736023,0.8802074790000916
sna,0.9616105556488037,0.9887973070144653,0.9828392267227173,0.8725895285606384
swa,0.9839074015617371,0.9401508569717407,0.9717434048652649,0.8693687915802002
tsn,0.9629365801811218,0.989155650138855,0.9783933162689209,0.870898962020874
twi,0.9715421795845032,0.9819796085357666,0.990821897983551,0.8762279748916626
wol,0.9483593702316284,0.9828397631645203,0.9795124530792236,0.8580408096313477
xho,0.9488402009010315,0.9886655211448669,0.9791963696479797,0.8633994460105896
yor,0.9385852217674255,0.9738370776176453,0.9795082211494446,0.8625400066375732
zul,0.9591699242591858,0.9866703152656555,0.9847560524940491,0.8669444918632507
