aux_code,aux_name,S_script,S_locale,S_geo,S_total,distance_km,group
lug,Luganda,1.0,1.0,0.8038956610225975,0.830687815564355,218.28579307217035,2
kin,Kinyarwanda,1.0,0.0,0.8532936139237876,0.7367149880098792,158.65157744300723,1
luo,Luo (Dholuo),1.0,0.0,0.6431686596044053,0.5552977118508121,441.34828804393743,1
swa,Swahili,1.0,0.2,0.5073538218099725,0.46536254749206213,678.5466453989039,1
nya,Nyanja (Chichewa),1.0,0.0,0.21472199716031232,0.18538626210502207,1538.4111240111135,0
sna,Shona,1.0,0.0,0.1550584850658132,0.13387409456962546,1863.9529102260672,0
bbj,Ghomala,1.0,0.0,0.09677704247894929,0.08355517552939128,2335.3454773012113,0
ibo,Igbo,1.0,0.0,0.07058754249968195,0.06094373575253863,2650.901601898264,0
tsn,Tswana (Setswana),1.0,0.0,0.05907389740618934,0.05100310714757638,2828.9661203882238,0
yor,Yoruba,1.0,0.0,0.0450933670198188,0.03893262389550479,3099.0201160210495,0
pcm,Nigerian Pidgin (Naija),1.0,0.0,0.04394373710836827,0.037940058648783366,3124.8451653835186,0
hau,Hausa,1.0,0.0,0.04068341608382697,0.035125168996137,3201.9347367987543,0
zul,Zulu,1.0,0.0,0.03878672636516697,0.033487608699727854,3249.677194874371,0
fon,Fon,1.0,0.0,0.03637880169295622,0.031408659359114514,3313.7690450559735,0
ewe,Ewe,1.0,0.0,0.03306768836580312,0.02854991674659706,3409.198655677389,0
xho,Xhosa,1.0,0.0,0.03304848571358778,0.028533337597912788,3409.779531779876,0
mos,Mossi (Mooré),1.0,0.0,0.02284001842164699,0.019719570875813396,3779.2410876426834,0
bam,Bambara,1.0,0.0,0.011494043670374475,0.009923705166228126,4465.926319497638,0
wol,Wolof,1.0,0.0,0.004797883505638652,0.004142387370128705,5339.5803946345795,0
twi,Twi,1.0,0.0,,0.0,,0
