aux_code,aux_name,group,S_total
lug,Luganda,2,0.889907835030586
kin,Kinyarwanda,1,0.8248038513253514
twi,Twi,0,0.817230100702058
luo,Luo (Dholuo),0,0.7886228999242217
fon,Fon,0,0.6064532799635091
ewe,Ewe,0,0.6053061437863544
nya,Nyanja (Chichewa),1,0.5872436567426078
tsn,Tswana (Setswana),1,0.5779946554997398
sna,Shona,1,0.5711981263599113
swa,Swahili,1,0.5497187065532751
mos,Mossi (Mooré),0,0.5466918612389142
xho,Xhosa,1,0.539462364299248
bam,Bambara,1,0.5380826089266302
bbj,Ghomala,0,0.5253978547281262
wol,Wolof,1,0.5241678613962633
zul,Zulu,0,0.5220088323478161
ibo,Igbo,0,0.4929758168579461
yor,Yoruba,0,0.4841433523331438
hau,Hausa,0,0.48210191537571784
pcm,Nigerian Pidgin (Naija),0,0.4563306250526137
