variant,setup,model,n,pearson_r,pearson_p,spearman_rho,spearman_p
cotrain_afroxlmr,co-train,afroxlmr,20,0.21864342249550014,0.3543850470953066,0.2530123351226577,0.2818006771760284
cotrain_mbert,co-train,mbert,20,0.36774693654929147,0.11066656372773842,0.34418179368709156,0.13729052942562908
cotrain_xlmr,co-train,xlmr,20,0.11813637906168985,0.6198614781402476,0.18480289783130538,0.4353893192976927
zeroshot_afroxlmr,zero-shot,afroxlmr,20,0.4408915559339518,0.051679811010977,0.5633697276932662,0.009691662026318765
zeroshot_mbert,zero-shot,mbert,20,0.5120593344285562,0.02099068751058112,0.24060150375939846,0.30686109167827574
zeroshot_xlmr,zero-shot,xlmr,20,0.5772414499863411,0.0076995978292074005,0.3398496240601503,0.14263670537136694
