aux_code,aux_name,S_script,S_locale,S_geo,S_total,distance_km
lug,Luganda,1.0,1.0,0.8038956610225975,1.0,218.28579307217035
swa,Swahili,1.0,0.2,0.5073538218099725,0.2,678.5466453989039
bam,Bambara,1.0,0.0,0.011494043670374475,0.0,4465.926319497638
bbj,Ghomala,1.0,0.0,0.09677704247894929,0.0,2335.3454773012113
fon,Fon,1.0,0.0,0.03637880169295622,0.0,3313.7690450559735
ewe,Ewe,1.0,0.0,0.03306768836580312,0.0,3409.198655677389
ibo,Igbo,1.0,0.0,0.07058754249968195,0.0,2650.901601898264
hau,Hausa,1.0,0.0,0.04068341608382697,0.0,3201.9347367987543
luo,Luo (Dholuo),1.0,0.0,0.6431686596044053,0.0,441.34828804393743
mos,Mossi (Mooré),1.0,0.0,0.02284001842164699,0.0,3779.2410876426834
pcm,Nigerian Pidgin (Naija),1.0,0.0,0.04394373710836827,0.0,3124.8451653835186
kin,Kinyarwanda,1.0,0.0,0.8532936139237876,0.0,158.65157744300723
nya,Nyanja (Chichewa),1.0,0.0,0.21472199716031232,0.0,1538.4111240111135
sna,Shona,1.0,0.0,0.1550584850658132,0.0,1863.9529102260672
tsn,Tswana (Setswana),1.0,0.0,0.05907389740618934,0.0,2828.9661203882238
twi,Twi,1.0,0.0,,0.0,
wol,Wolof,1.0,0.0,0.004797883505638652,0.0,5339.5803946345795
xho,Xhosa,1.0,0.0,0.03304848571358778,0.0,3409.779531779876
yor,Yoruba,1.0,0.0,0.0450933670198188,0.0,3099.0201160210495
zul,Zulu,1.0,0.0,0.03878672636516697,0.0,3249.677194874371
