aux_code,aux_name,group,S_total
lug,Luganda,2,0.8582437192460177
kin,Kinyarwanda,1,0.6168131196469802
luo,Luo (Dholuo),1,0.46492187556110404
swa,Swahili,1,0.42217425112824486
nya,Nyanja (Chichewa),0,0.15521426946611547
sna,Shona,0,0.11208581236343493
bbj,Ghomala,0,0.0699564001272141
ibo,Igbo,0,0.051025018337159805
tsn,Tswana (Setswana),0,0.042702247332266734
yor,Yoruba,0,0.03259625987235494
pcm,Nigerian Pidgin (Naija),0,0.03176523664594109
hau,Hausa,0,0.029408476031091844
zul,Zulu,0,0.02803743201613743
fon,Fon,0,0.02629683592505512
ewe,Ewe,0,0.023903359509083247
xho,Xhosa,0,0.023889478650695035
mos,Mossi (Mooré),0,0.016510170456647592
bam,Bambara,0,0.008308601890363526
wol,Wolof,0,0.0034682053686154587
twi,Twi,0,0.0
