aux_code,aux_name,group,S_total
twi,Twi,0,1.0
kin,Kinyarwanda,1,0.9991836578920088
lug,Luganda,2,0.9989087848610498
luo,Luo (Dholuo),0,0.9980144255720094
swa,Swahili,1,0.9972586890703687
nya,Nyanja (Chichewa),1,0.9956303504070763
sna,Shona,1,0.9952983550622514
bbj,Ghomala,0,0.9949740501906597
ibo,Igbo,0,0.99482831971367
tsn,Tswana (Setswana),1,0.994764252473261
yor,Yoruba,0,0.9946864583434232
pcm,Nigerian Pidgin (Naija),0,0.9946800612714863
hau,Hausa,0,0.9946619193390929
zul,Zulu,0,0.9946513652812596
fon,Fon,0,0.9946379664759631
ewe,Ewe,0,0.9946195419117326
xho,Xhosa,1,0.9946194350593044
mos,Mossi (Mooré),0,0.9945626304311532
bam,Bambara,1,0.9944994961859892
wol,Wolof,1,0.9944622356573201
