aux_code,aux_name,group,S_total
lug,Luganda,2,0.8426450008770531
kin,Kinyarwanda,1,0.6846866141297667
luo,Luo (Dholuo),1,0.5160814105169813
swa,Swahili,1,0.44662208196686376
nya,Nyanja (Chichewa),0,0.17229389135918996
sna,Shona,0,0.12441962227234596
bbj,Ghomala,0,0.07765433194291153
ibo,Igbo,0,0.056639759966801886
tsn,Tswana (Setswana),0,0.04740115962253709
yor,Yoruba,0,0.03618311948045146
pcm,Nigerian Pidgin (Naija),0,0.0352606512951409
hau,Hausa,0,0.03264455511576805
zul,Zulu,0,0.031122642798210205
fon,Fon,0,0.029190513266249645
ewe,Ewe,0,0.026533661115975743
xho,Xhosa,0,0.026518252821910147
mos,Mossi (Mooré),0,0.018326932986018712
bam,Bambara,0,0.00922287207464238
wol,Wolof,0,0.0038498431944882575
twi,Twi,0,0.0
