aux_code,aux_name,group,S_total
lug,Luganda,2,0.9377771886899823
kin,Kinyarwanda,1,0.7299283176940035
luo,Luo (Dholuo),0,0.7131209978138702
twi,Twi,0,0.7053815262799132
fon,Fon,0,0.6172178821401293
ewe,Ewe,0,0.6166012262259719
swa,Swahili,1,0.6042358029354794
nya,Nyanja (Chichewa),1,0.6010470776025945
tsn,Tswana (Setswana),1,0.599298799411694
sna,Shona,1,0.5927553413293999
mos,Mossi (Mooré),0,0.5811187244818514
xho,Xhosa,1,0.5764555717386817
bam,Bambara,1,0.5761531436685198
wol,Wolof,1,0.567836467731863
bbj,Ghomala,0,0.5662870551179979
zul,Zulu,0,0.5656703912470544
ibo,Igbo,0,0.5471734606033358
yor,Yoruba,0,0.5424254702650698
hau,Hausa,0,0.5412910126470581
pcm,Nigerian Pidgin (Naija),0,0.5254962903665623
