layer,best_config,tokens,ctx_window,score_mean_over_langs
1,config_3_clstrue_ctxtrue,500,2,0.9998643036980639
2,config_3_clstrue_ctxtrue,500,2,0.9999888858222585
3,config_3_clstrue_ctxtrue,400,3,0.9999923332064758
4,config_3_clstrue_ctxtrue,500,2,0.999995787234444
5,config_3_clstrue_ctxtrue,500,2,0.9999867837964078
6,config_3_clstrue_ctxtrue,500,1,0.9999992980809974
7,config_1_clstrue_ctxfalse,500,0,0.9999962896186847
8,config_3_clstrue_ctxtrue,500,2,0.9999947251766684
9,config_3_clstrue_ctxtrue,400,2,0.9999976981033398
10,config_1_clstrue_ctxfalse,500,0,0.9999933686573058
11,config_3_clstrue_ctxtrue,500,3,0.9999785328400321
12,config_1_clstrue_ctxfalse,300,0,0.9996266599861305
