,DATE,ORG,PER,LOC,Mean
twi,0.9797480702400208,0.9885539412498474,0.896130383014679,0.9666902422904968,0.9767189793337404
kin,0.9821717739105225,0.9842918515205383,0.8791375756263733,0.9635972380638123,0.9747742215792338
luo,0.9809941053390503,0.9766282439231873,0.8931666016578674,0.9659292697906494,0.9729220964550193
nya,0.9794479608535767,0.9840512275695801,0.8924485445022583,0.9566463232040405,0.9717949099010892
ibo,0.9863152503967285,0.9842574596405029,0.8922615051269531,0.9427854418754578,0.9695731510523877
zul,0.9807543754577637,0.9825866222381592,0.893828809261322,0.9491137266159058,0.9693086447279438
sna,0.9868950247764587,0.9832360148429871,0.8895896673202515,0.9424715042114258,0.9692738313300937
tsn,0.9847317337989807,0.9718064665794373,0.896415114402771,0.9523657560348511,0.9681989749272665
ewe,0.9664726853370667,0.9787501692771912,0.9008587598800659,0.9544632434844971,0.9652737332325355
lug,0.967207133769989,0.9549994468688965,0.8941028714179993,0.9736202955245972,0.9638800811923407
xho,0.9811057448387146,0.9730898141860962,0.8951806426048279,0.93710857629776,0.962423194078059
wol,0.9806097745895386,0.9700767993927002,0.8849685788154602,0.9357424378395081,0.960629779918521
yor,0.9708245396614075,0.9817984104156494,0.8828986883163452,0.9253005981445312,0.9578096305622774
mos,0.9545856714248657,0.980297863483429,0.8974763751029968,0.9421597719192505,0.9578078069718056
bam,0.9678043723106384,0.9608240723609924,0.8734011650085449,0.9420731067657471,0.9552632749470231
fon,0.9598963260650635,0.9779104590415955,0.8958346843719482,0.9290592670440674,0.9544497167362886
bbj,0.9622258543968201,0.9741529226303101,0.8928906917572021,0.922920286655426,0.9519191193424799
swa,0.9203428030014038,0.9591924548149109,0.8902627229690552,0.963423490524292,0.9465276182087419
hau,0.9484971165657043,0.9719761610031128,0.8959602117538452,0.9171331524848938,0.9448902100519417
pcm,0.9103748202323914,0.9487103223800659,0.891603410243988,0.9576891660690308,0.9379968997699762
