,PER,DATE,ORG,LOC,Mean
lug,0.9997741,0.99994797,0.9999783,0.99998784,0.99992204
luo,0.99979407,0.99992836,0.9999787,0.99996686,0.99991703
tsn,0.99979025,0.9999324,0.999974,0.9999453,0.9999105
kin,0.99978375,0.9999373,0.99997556,0.99993134,0.999907
nya,0.99977565,0.999951,0.9999773,0.99991596,0.999905
zul,0.99975324,0.9999509,0.99996364,0.9999156,0.9998958
swa,0.9997589,0.9999028,0.99993396,0.99996614,0.99989045
twi,0.9997284,0.99985874,0.99998516,0.99996233,0.99988365
sna,0.99972296,0.99987936,0.99997765,0.9999398,0.99987996
bam,0.9997446,0.9999028,0.999934,0.9999298,0.9998778
mos,0.999748,0.9999009,0.9999659,0.9998892,0.99987596
wol,0.99974155,0.9999195,0.9999621,0.99987924,0.99987555
xho,0.999789,0.9999351,0.9999634,0.9998071,0.9998737
ewe,0.99955386,0.999812,0.9999704,0.99993247,0.9998172
ibo,0.9997856,0.999801,0.9998169,0.9998262,0.9998074
yor,0.999518,0.9998384,0.9999276,0.9997934,0.99976933
bbj,0.99978524,0.99937814,0.9999426,0.9997839,0.9997225
pcm,0.99938786,0.99988735,0.999951,0.9993686,0.9996487
fon,0.9997805,0.9998703,0.99995124,0.9971,0.9991754
hau,0.9996495,0.99015945,0.99822474,0.99559593,0.9959074
