,PER,LOC,ORG,DATE,Mean
kin,0.56939906,0.7093314,0.6755422,0.6944628,0.6621838
lug,0.56928587,0.7220333,0.6668353,0.67823726,0.6590979
sna,0.5675449,0.6778415,0.66847444,0.69729626,0.65278924
nya,0.56796163,0.68786955,0.69103295,0.66188836,0.6521881
xho,0.5535184,0.65054625,0.64840937,0.70753384,0.64000195
luo,0.56530446,0.6666817,0.6609372,0.64002764,0.6332377
hau,0.56852716,0.6393658,0.6375958,0.6724451,0.62948346
tsn,0.56275034,0.6368201,0.65115726,0.65538955,0.62652934
zul,0.5675267,0.65285647,0.63880765,0.6456907,0.62622035
twi,0.5663726,0.6390272,0.66143966,0.61977714,0.62165415
wol,0.56691664,0.6361605,0.6370491,0.64605296,0.6215448
swa,0.56810486,0.6318325,0.6488899,0.63149893,0.62008154
ibo,0.5594951,0.66205716,0.6116627,0.63457465,0.6169474
bam,0.5544529,0.63865936,0.6065599,0.6371629,0.60920876
mos,0.5586015,0.61192405,0.629247,0.6081384,0.6019777
ewe,0.55133677,0.6091758,0.620152,0.6111522,0.59795415
yor,0.54667485,0.58310294,0.6027175,0.57792646,0.5776054
fon,0.5450464,0.5894944,0.60770726,0.5522087,0.5736142
pcm,0.5605479,0.5816789,0.60296094,0.5361257,0.57032835
bbj,0.55078685,0.5361915,0.5430085,0.5576176,0.54690117
