language,f1
bam,0.332
bbj,0.096
ewe,0.263
fon,0.383
hau,0.294
ibo,0.243
kin,0.576
lug,0.521
luo,0.323
mos,0.330
pcm,0.170
nya,0.462
sna,0.307
swa,0.500
tsn,0.433
twi,0.398
wol,0.481
xho,0.417
yor,0.174
zul,0.415
