language,f1
bam,0.807
bbj,0.803
ewe,0.804
fon,0.805
hau,0.813
ibo,0.813
kin,0.813
lug,0.817
luo,0.817
mos,0.810
pcm,0.813
nya,0.808
sna,0.816
swa,0.812
tsn,0.817
twi,0.810
wol,0.807
xho,0.819
yor,0.811
zul,0.815
