language,f1
bam,0.277
bbj,0.025
ewe,0.441
fon,0.204
hau,0.336
ibo,0.269
kin,0.557
lug,0.495
luo,0.414
mos,0.263
pcm,0.143
nya,0.447
sna,0.352
swa,0.341
tsn,0.241
twi,0.377
wol,0.450
xho,0.309
yor,0.247
zul,0.371
