,PER,DATE,LOC,ORG,Mean
kin,0.9924473166465759,,0.9799303412437439,0.9915337562561035,0.9879704713821411
sna,0.9885334968566895,,0.9820830225944519,0.9902303814888,0.9869489669799805
nya,0.9904061555862427,,0.9793910384178162,0.9890923500061035,0.9862965146700541
lug,0.9917755722999573,,0.97378009557724,0.9927810430526733,0.9861122369766235
hau,0.9916697144508362,,0.9762442708015442,0.986121416091919,0.9846784671147665
zul,0.9882000684738159,,0.9692906737327576,0.992411732673645,0.9833008249600729
ibo,0.9908660650253296,,0.9785832166671753,0.9795327186584473,0.982994000116984
tsn,0.9885050058364868,,0.9733076691627502,0.9868215322494507,0.9828780690828959
twi,0.9883332848548889,,0.9725542068481445,0.9872866272926331,0.9827247063318888
xho,0.9796685576438904,,0.9748983383178711,0.9890677332878113,0.9812115430831909
luo,0.9863200187683105,,0.977404773235321,0.9796528220176697,0.9811258713404337
mos,0.9865669012069702,,0.9707235097885132,0.9816548824310303,0.9796484311421713
wol,0.9845525622367859,,0.9685059785842896,0.9814548492431641,0.9781711300214132
ewe,0.9805573225021362,,0.9664174318313599,0.9818060398101807,0.976260264714559
bam,0.9870432615280151,,0.9712207913398743,0.9630613923072815,0.9737751483917236
fon,0.9725534319877625,,0.9673680663108826,0.9711382985115051,0.9703532656033834
swa,0.9776827692985535,,0.9615594744682312,0.9650440216064453,0.9680954217910767
bbj,0.9755406975746155,,0.9444823265075684,0.9685866236686707,0.9628698825836182
pcm,0.9770722389221191,,0.9396640062332153,0.9629032611846924,0.9598798354466757
yor,0.9588103890419006,,0.9483839869499207,0.9587422609329224,0.9553122123082479
