,DATE,ORG,LOC,PER,Mean
lug,0.57623833,0.63577634,0.6267808,0.67465246,0.62836194
kin,0.56200576,0.59516436,0.59219307,0.6132264,0.5906474
nya,0.55389774,0.5675121,0.5508342,0.6084477,0.5701729
xho,0.5850216,0.57205635,0.56074107,0.5600469,0.5694665
sna,0.5706629,0.5691637,0.5447959,0.55645263,0.56026876
zul,0.5323773,0.5709303,0.5523568,0.5656307,0.5553238
luo,0.5250164,0.5317161,0.54787123,0.59445024,0.5497635
tsn,0.52476716,0.53953516,0.5065773,0.5832635,0.53853583
wol,0.5048505,0.54462224,0.5263018,0.5467197,0.53062356
ibo,0.5127903,0.5129316,0.5412083,0.54305166,0.5274955
hau,0.53885484,0.516888,0.5061489,0.52595085,0.5219607
twi,0.48240027,0.51989704,0.5080194,0.5590863,0.51735073
bam,0.5164776,0.4962919,0.50129414,0.54460424,0.514667
ewe,0.47229263,0.4979796,0.47029388,0.5026476,0.48580343
mos,0.46096855,0.49580085,0.47855023,0.5069432,0.48556572
swa,0.47781932,0.46151486,0.44789,0.54340607,0.48265755
pcm,0.4237795,0.469154,0.4586051,0.522469,0.46850193
fon,0.4013331,0.4592614,0.44426614,0.4765159,0.44534412
yor,0.433029,0.4085759,0.41327107,0.4309262,0.42145053
bbj,0.4017456,0.4161333,0.39886296,0.4652065,0.42048708
