,DATE,PER,LOC,ORG
bam,0.9999901056289673,0.9999883770942688,0.9999901056289673,0.9999886155128479
bbj,0.9999878406524658,0.9999877214431763,0.9999907612800598,0.9999912977218628
ewe,0.9999878406524658,0.9999858140945435,0.9999933242797852,0.9999911189079285
fon,0.9999834299087524,0.9999831318855286,0.9999914765357971,0.99998939037323
hau,0.9999903440475464,0.999992311000824,0.9999953508377075,0.9999918937683105
ibo,0.9999945759773254,0.9999885559082031,0.9999953508377075,0.9999875426292419
kin,0.9999977946281433,0.9999927878379822,0.9999982118606567,0.9999961256980896
lug,0.9999974370002747,0.9999938607215881,0.9999960660934448,0.9999976754188538
luo,0.9999961256980896,0.9999905228614807,0.999997079372406,0.9999883770942688
mos,0.9999882578849792,0.9999886751174927,0.999994695186615,0.9999938011169434
nya,0.9999952912330627,0.9999933242797852,0.9999975562095642,0.999993085861206
pcm,0.9999635815620422,0.9999867081642151,0.9999910593032837,0.9999791979789734
sna,0.999993622303009,0.9999903440475464,0.9999916553497314,0.999996542930603
swa,0.9999844431877136,0.9999901056289673,0.9999937415122986,0.9999790787696838
tsn,0.9999961853027344,0.9999919533729553,0.9999966621398926,0.999989926815033
twi,0.9999929666519165,0.9999887943267822,0.9999939203262329,0.9999916553497314
wol,0.9999948740005493,0.9999886751174927,0.9999967217445374,0.9999905824661255
xho,0.9999960064888,0.9999903440475464,0.9999949932098389,0.9999958872795105
yor,0.9999883770942688,0.9999885559082031,0.9999913573265076,0.999984085559845
zul,0.999995768070221,0.9999935030937195,0.9999964237213135,0.9999960064888
