,ORG,PER,DATE,LOC
bam,0.9968574047088623,0.9915902018547058,,0.9980288743972778
bbj,0.9974234104156494,0.9923301935195923,,0.995902955532074
ewe,0.9984714984893799,0.993482232093811,,0.9982425570487976
fon,0.9980313181877136,0.9926632642745972,,0.9971704483032227
hau,0.9966943264007568,0.9933278560638428,,0.9960237145423889
ibo,0.998594343662262,0.9919962882995605,,0.9980733394622803
kin,0.9991657733917236,0.9915364980697632,,0.9987595677375793
lug,0.9964599013328552,0.9925270080566406,,0.998190701007843
luo,0.9985345005989075,0.9923543930053711,,0.9988093376159668
mos,0.9987276792526245,0.992961049079895,,0.9980166554450989
nya,0.9988610744476318,0.9923230409622192,,0.9983732104301453
pcm,0.9959641695022583,0.9928691387176514,,0.9976784586906433
sna,0.9987649321556091,0.9932894706726074,,0.9986909031867981
swa,0.9977812170982361,0.9938562512397766,,0.9963982105255127
tsn,0.9985954761505127,0.9928433299064636,,0.9979048371315002
twi,0.9990515112876892,0.993198812007904,,0.9981613755226135
wol,0.9983610510826111,0.9922026991844177,,0.9975916147232056
xho,0.9981865286827087,0.9932194352149963,,0.9979827404022217
yor,0.9982568025588989,0.9918354749679565,,0.9970766305923462
zul,0.998573899269104,0.9920717477798462,,0.9985047578811646
