,ORG,PER,DATE,LOC
bam,0.9684166312217712,0.9591235518455505,0.975574254989624,0.9685018658638
bbj,0.9599047899246216,0.9533208012580872,0.9640898108482361,0.9441390037536621
ewe,0.9816343784332275,0.9632292985916138,0.9718955159187317,0.9822619557380676
fon,0.9636028409004211,0.9530604481697083,0.9308321475982666,0.9636462330818176
hau,0.9833638072013855,0.9699207544326782,0.9811397194862366,0.9830751419067383
ibo,0.9829258918762207,0.9715795516967773,0.9854764938354492,0.9839848279953003
kin,0.9912505745887756,0.9639124870300293,0.9781821370124817,0.9889379739761353
lug,0.9924442768096924,0.9758477807044983,0.9793935418128967,0.9912878274917603
luo,0.9871795177459717,0.9693571925163269,0.9861441254615784,0.9889940023422241
mos,0.9856521487236023,0.9630821347236633,0.9643012285232544,0.9770112633705139
nya,0.9928585290908813,0.9748188853263855,0.9758113026618958,0.9861870408058167
pcm,0.9772180318832397,0.9561632871627808,0.9539531469345093,0.9758907556533813
sna,0.990983247756958,0.9680719971656799,0.9602763652801514,0.9812854528427124
swa,0.9755985736846924,0.9676601886749268,0.9710832834243774,0.9785406589508057
tsn,0.9862497448921204,0.9724904298782349,0.9845832586288452,0.9839790463447571
twi,0.9847689867019653,0.9615525603294373,0.9700852036476135,0.9738706350326538
wol,0.983032763004303,0.9723625183105469,0.9766262769699097,0.985175609588623
xho,0.9897336959838867,0.9641743898391724,0.989555299282074,0.9868267178535461
yor,0.9744871258735657,0.961571216583252,0.9706802368164062,0.962715208530426
zul,0.9906904101371765,0.9709008932113647,0.982713520526886,0.9875184893608093
