,ORG,DATE,PER,LOC
bam,0.9327377080917358,,,0.9367469549179077
bbj,0.9468874931335449,,,0.906923770904541
ewe,0.942210853099823,,0.9552115201950073,
fon,0.9587163925170898,,0.9472486972808838,0.9351707696914673
hau,0.9789313077926636,,0.9860271215438843,0.9632724523544312
ibo,0.9579430222511292,,,0.9547989368438721
kin,0.9688467383384705,,0.9898995757102966,0.9638062119483948
lug,0.9818627834320068,,0.9864984750747681,
luo,0.9595050811767578,,0.9643526673316956,
mos,0.9690240025520325,,0.974868893623352,
nya,0.962273359298706,,0.9818189144134521,0.9504517912864685
pcm,0.9379593133926392,,0.9551124572753906,0.9190192818641663
sna,0.9767711162567139,,0.9847223162651062,0.9714816808700562
swa,0.9101594090461731,,0.9273066520690918,0.9100610613822937
tsn,0.9668828845024109,,,0.9467709064483643
twi,0.9795482158660889,,0.9782260656356812,0.9574316740036011
wol,0.9712461233139038,,0.9648085832595825,0.9585751295089722
xho,,,0.9537492990493774,0.9604038000106812
yor,0.9472643136978149,,,0.8994234800338745
zul,,,0.9730907082557678,0.9637531638145447
