,LOC,PER,ORG,DATE,Mean
lug,0.64852846,0.43450376,0.6127545,0.5329615,0.5571871
kin,0.5833092,0.45816693,0.60248524,0.5698449,0.5534516
luo,0.5774832,0.4472909,0.6195857,0.54029,0.5461625
twi,0.56405723,0.44288394,0.61577606,0.53747696,0.54004854
swa,0.57117844,0.44541758,0.62328315,0.5129114,0.53819764
ibo,0.5326663,0.43355617,0.5953727,0.57731354,0.5347272
tsn,0.48817742,0.45813566,0.61273354,0.54902214,0.5270172
nya,0.5120479,0.43899837,0.61746633,0.5187211,0.5218084
sna,0.48616737,0.39058086,0.590824,0.5989474,0.51662993
xho,0.439335,0.45709956,0.5258409,0.6337858,0.5140153
wol,0.4698992,0.45021325,0.58832246,0.5466179,0.51376325
ewe,0.5658513,0.43860638,0.59467804,0.43772262,0.5092146
hau,0.4619177,0.4390134,0.57118446,0.56407565,0.5090478
fon,0.48325038,0.4423387,0.59280205,0.51006144,0.50711316
zul,0.49069667,0.41867247,0.5744949,0.5433082,0.5067931
bam,0.53653646,0.42625216,0.5482173,0.5084936,0.5048749
pcm,0.5528777,0.44040656,0.58371294,0.4101238,0.49678028
mos,0.4770805,0.43295887,0.5958222,0.4422634,0.48703122
bbj,0.41079202,0.44914854,0.54100037,0.45901933,0.46499005
yor,0.3800562,0.38831797,0.48686653,0.4942152,0.43736398
