,DATE,ORG,PER,LOC,Mean
kin,0.9251681,0.93003464,0.6596544,0.9095063,0.85609084
lug,0.91116595,0.934872,0.66101,0.9032494,0.85257435
sna,0.9349358,0.91379046,0.5950793,0.886341,0.8325367
xho,0.9382981,0.90524435,0.6073194,0.8690794,0.8299853
nya,0.88375795,0.9276326,0.6521632,0.827145,0.82267463
luo,0.86281955,0.9027191,0.6439558,0.87529033,0.8211962
zul,0.85935414,0.8923725,0.6401049,0.8533181,0.8112874
wol,0.8574879,0.8802945,0.6427406,0.8347784,0.8038254
twi,0.8323166,0.8964933,0.6271259,0.8409503,0.7992215
hau,0.88358784,0.85195756,0.6335396,0.8147447,0.79595745
swa,0.84252894,0.8659859,0.6619655,0.8047193,0.7937999
tsn,0.867562,0.87913567,0.6360989,0.78946483,0.7930653
ibo,0.8698257,0.8384872,0.5832935,0.8677932,0.7898499
bam,0.83892846,0.8082591,0.57412696,0.83984673,0.76529026
ewe,0.7688098,0.8220898,0.58056605,0.78145456,0.73823005
mos,0.7539152,0.860509,0.5487491,0.7761203,0.73482335
pcm,0.6658976,0.8366095,0.6263106,0.78429675,0.7282786
fon,0.71851295,0.8194142,0.5516323,0.759518,0.7122694
yor,0.7492554,0.7312549,0.50660354,0.7050001,0.67302847
bbj,0.7108762,0.7018559,0.5780035,0.68990475,0.6701601
