,DATE,PER,ORG,LOC,Mean
lug,0.5728213,0.67725086,0.6421439,0.6346735,0.63172245
kin,0.56128895,0.62472844,0.5982473,0.59329605,0.59439015
nya,0.556157,0.6198132,0.5714246,0.55323625,0.57515776
xho,0.5783371,0.5545626,0.58357334,0.5646963,0.57029235
sna,0.5690046,0.5625471,0.57076275,0.5604417,0.565689
zul,0.5266171,0.5854046,0.556249,0.5605831,0.5572134
luo,0.5255324,0.602173,0.5506974,0.5493029,0.55692637
tsn,0.5244255,0.5914744,0.5504168,0.5125212,0.5447095
wol,0.5057369,0.5627254,0.5520841,0.5239328,0.5361198
hau,0.5392348,0.5331135,0.5209438,0.51030517,0.52589935
ibo,0.51310354,0.5393863,0.50792456,0.53792506,0.52458483
twi,0.47989,0.5675258,0.51547134,0.50124943,0.5160341
bam,0.5174756,0.5304276,0.49418387,0.5017028,0.51094747
mos,0.4759716,0.52580714,0.506827,0.46781325,0.49410474
swa,0.47718668,0.53802156,0.47557497,0.45681387,0.48689926
ewe,0.46068996,0.5100267,0.50227475,0.4682894,0.4853202
pcm,0.42660058,0.52961,0.4655818,0.4553444,0.4692842
fon,0.40434685,0.4865309,0.4629783,0.45032287,0.45104474
yor,0.4278448,0.44137976,0.41165024,0.42090356,0.42544457
bbj,0.40320072,0.46595603,0.4126203,0.39809513,0.41996804
