,PER,LOC,ORG,DATE,Mean
twi,0.9067991971969604,0.9731737971305847,0.9911332130432129,0.9828937649726868,0.9804365944552731
kin,0.8948245644569397,0.9691483378410339,0.9819226264953613,0.9894983172416687,0.9779724827060452
luo,0.9036405086517334,0.9748592972755432,0.9794461727142334,0.9829358458518982,0.9771209599135758
tsn,0.9064825773239136,0.9620255827903748,0.9815121293067932,0.9859060645103455,0.974663111296567
zul,0.8924781084060669,0.9613599181175232,0.9856180548667908,0.9834249019622803,0.9746107544217791
lug,0.8982342481613159,0.979155957698822,0.9718868136405945,0.9699543714523315,0.9717064554041083
sna,0.9020777940750122,0.950206995010376,0.9792730808258057,0.9877730011940002,0.9705906819987606
ewe,0.9057244658470154,0.9653440713882446,0.9841192364692688,0.9658034443855286,0.9700404901009101
ibo,0.8963057398796082,0.9428207874298096,0.9813838005065918,0.9898784160614014,0.9694115140221335
nya,0.9060853123664856,0.9530066251754761,0.9775675535202026,0.9775702357292175,0.9677374153942256
xho,0.8947128653526306,0.9462484121322632,0.9793710708618164,0.9773398041725159,0.9657585442840279
wol,0.8966683149337769,0.9393014907836914,0.9773103594779968,0.9796914458274841,0.9636482991181411
mos,0.9008009433746338,0.9525721669197083,0.9831377267837524,0.958535373210907,0.9630874488260839
fon,0.9048744440078735,0.9450244307518005,0.9821521043777466,0.9618995785713196,0.9615149575394469
bam,0.8849013447761536,0.9582170844078064,0.9575172662734985,0.9744061231613159,0.961341747215816
yor,0.8961538076400757,0.9379159808158875,0.9742842316627502,0.9759634733200073,0.9609922046785231
bbj,0.9021393656730652,0.9335278868675232,0.9802771806716919,0.9656733274459839,0.9583277741035858
hau,0.9058775901794434,0.9420494437217712,0.978752076625824,0.9464524388313293,0.9544558981796364
swa,0.9087392091751099,0.9740108251571655,0.9618362188339233,0.9260464310646057,0.952789809022631
pcm,0.912412166595459,0.96732097864151,0.9583335518836975,0.9188445806503296,0.9472376897737578
