,LOC,DATE,PER,ORG,Mean
kin,0.555874,0.5732591,0.38446987,0.591626,0.5263072
lug,0.5486672,0.5628145,0.38226718,0.59627825,0.5225068
sna,0.5391174,0.58789086,0.3439234,0.5730988,0.51100755
xho,0.5253329,0.59142834,0.3567667,0.56128657,0.5087036
nya,0.49472928,0.5415585,0.37974814,0.5860935,0.5005323
luo,0.5273073,0.516621,0.37312654,0.55348647,0.4926353
zul,0.5020861,0.5211509,0.37192494,0.5438824,0.48476106
wol,0.49963698,0.5113207,0.37146756,0.5409262,0.48083788
twi,0.50399834,0.50231665,0.36331284,0.5512899,0.48022944
tsn,0.4677696,0.5292002,0.37002975,0.5509026,0.47947556
swa,0.4778226,0.5073455,0.37929258,0.52983177,0.47357312
hau,0.47930148,0.53154397,0.36548167,0.5155081,0.4729588
ibo,0.52493453,0.5268488,0.3381775,0.49967304,0.47240844
bam,0.50268334,0.50255,0.33049983,0.4851026,0.45520896
ewe,0.4604135,0.45378083,0.33238176,0.5031329,0.43742722
mos,0.44893157,0.44379795,0.32267693,0.5248418,0.43506205
pcm,0.46320412,0.39712545,0.36586034,0.509043,0.4338082
fon,0.44577205,0.41502854,0.32216322,0.49832785,0.42032292
bbj,0.3955541,0.41893953,0.33666787,0.4249273,0.39402223
yor,0.4101608,0.43778986,0.29633763,0.4106731,0.38874036
