,ORG,DATE,LOC,PER,Mean
lug,0.9779741,0.95473635,0.9849094,0.9349876,0.9631518
kin,0.9765427,0.97405916,0.95890313,0.9366342,0.96153474
twi,0.9797138,0.9660127,0.9502096,0.9370422,0.95824456
swa,0.9809901,0.96461374,0.9551828,0.92678946,0.95689404
luo,0.98140097,0.9763795,0.9500697,0.91862327,0.95661837
ibo,0.96784574,0.98211944,0.92389345,0.9313961,0.95131373
ewe,0.9754342,0.9269797,0.9373338,0.93770504,0.9443632
sna,0.97923815,0.9882035,0.8688661,0.92968404,0.9414979
zul,0.96097666,0.9810345,0.8647157,0.95421296,0.94023496
tsn,0.9802021,0.9733366,0.8776865,0.9257558,0.9392452
bam,0.9521632,0.96222544,0.9032043,0.9353188,0.938228
hau,0.96415526,0.9830766,0.85064524,0.95014864,0.9370064
nya,0.97510487,0.95171857,0.9055614,0.9051535,0.9343846
fon,0.969541,0.95311415,0.8673698,0.94731164,0.9343341
xho,0.9489772,0.9936873,0.81996167,0.96105766,0.93092096
wol,0.9607694,0.96900207,0.8340426,0.9537004,0.9293786
mos,0.9620776,0.9239383,0.8637641,0.94176614,0.9228865
pcm,0.9694811,0.8175026,0.9433104,0.9476236,0.9194795
bbj,0.95204896,0.9134978,0.80918336,0.9396599,0.9035975
yor,0.93474156,0.94883794,0.7877829,0.8821006,0.88836575
