,PER,DATE,ORG,LOC,Mean
lug,0.9531669,0.74358886,0.9176258,0.7715289,0.8464776
swa,0.8799435,0.76166147,0.8943019,0.82952476,0.8413579
hau,0.88198256,0.73925084,0.9045074,0.82267404,0.8371037
sna,0.8720521,0.75222623,0.92730045,0.7754991,0.83176947
wol,0.9070895,0.7032739,0.8734596,0.84090906,0.83118296
kin,0.9271078,0.70464087,0.91173893,0.77864265,0.83053255
luo,0.92867374,0.70067364,0.893361,0.7984286,0.83028424
ewe,0.90307915,0.73142123,0.88517505,0.784099,0.8259436
pcm,0.88688517,0.7182832,0.89568216,0.8022113,0.82576543
ibo,0.9308165,0.6876752,0.9022495,0.75924325,0.8199961
mos,0.91246843,0.7076856,0.8833524,0.767576,0.8177706
xho,0.78787524,0.825853,0.7931603,0.8507759,0.8144161
tsn,0.8427583,0.733539,0.86870563,0.79733926,0.81058556
twi,0.9031014,0.7041443,0.8602352,0.76365566,0.80778414
zul,0.76691437,0.8301354,0.84147906,0.7678852,0.8016035
yor,0.8099048,0.7281971,0.8479397,0.79561317,0.79541373
nya,0.78918207,0.7075484,0.9025098,0.76913285,0.7920933
fon,0.8646196,0.6857423,0.851207,0.7662719,0.7919602
bam,0.8835147,0.7170882,0.8050444,0.75059235,0.7890599
bbj,0.88500166,0.6929636,0.8415779,0.73398095,0.78838104
