,ORG,PER,LOC,DATE,Mean
bbj,0.8059645891189575,,,,0.8059645891189575
nya,0.8013180494308472,,,,0.8013180494308472
pcm,,0.7226118445396423,0.8626439571380615,,0.7926279008388519
wol,0.7921864986419678,,,,0.7921864986419678
ibo,0.8123087882995605,,0.7689687013626099,,0.7906387448310852
tsn,0.8007785081863403,,0.7586014270782471,,0.7796899676322937
twi,,0.7716593146324158,,,0.7716593146324158
kin,0.7698847055435181,,,,0.7698847055435181
luo,0.773741602897644,0.7522097826004028,,,0.7629756927490234
hau,0.7729939222335815,0.7368363738059998,,,0.7549151480197906
bam,0.7450078129768372,,,,0.7450078129768372
lug,0.8495887517929077,0.6318262815475464,,,0.740707516670227
swa,,0.7280070185661316,,,0.7280070185661316
mos,0.8067169785499573,0.6360454559326172,,,0.7213812172412872
ewe,0.7391968369483948,0.6789854764938354,,,0.7090911567211151
zul,,,0.6742143630981445,,0.6742143630981445
fon,,0.6533775329589844,,,0.6533775329589844
yor,0.8071631789207458,,0.4607471227645874,,0.6339551508426666
sna,,0.5349896550178528,0.7251607179641724,,0.6300751864910126
xho,,0.5063915252685547,0.6595288515090942,,0.5829601883888245
