,ORG,DATE,PER,LOC,Mean
twi,,,0.9887548089027405,,0.9887548089027405
swa,,,0.9864118099212646,,0.9864118099212646
fon,,,0.9856157302856445,,0.9856157302856445
pcm,,,0.9845731854438782,0.9836575388908386,0.9841153621673584
ewe,0.9792370796203613,,0.9866393804550171,,0.9829382300376892
sna,,,0.9834299087524414,0.9786040782928467,0.981016993522644
mos,0.9786969423294067,,0.982729434967041,,0.9807131886482239
hau,0.975958526134491,,0.9849835634231567,,0.9804710447788239
nya,0.9794901609420776,,,,0.9794901609420776
tsn,0.9799968004226685,,,0.9766712784767151,0.9783340394496918
zul,,,,0.9780274629592896,0.9780274629592896
luo,0.9701493382453918,,0.9778567552566528,,0.9740030467510223
lug,0.9740949273109436,,0.9722598791122437,,0.9731774032115936
kin,0.9716596007347107,,,,0.9716596007347107
ibo,0.9750761389732361,,,0.9668881893157959,0.970982164144516
wol,0.9708020091056824,,,,0.9708020091056824
xho,,,0.9699764847755432,0.9684898853302002,0.9692331850528717
yor,0.978563129901886,,,0.9568935036659241,0.967728316783905
bam,0.9643726348876953,,,,0.9643726348876953
bbj,0.9794555902481079,,,0.9414088129997253,0.9604322016239166
