,ORG,PER,LOC,DATE,Mean
lug,0.8312863,0.87019396,0.825318,0.79842013,0.8313046
kin,0.80617595,0.83260375,0.8013382,0.7859075,0.80650634
nya,0.8002037,0.83322823,0.7911433,0.7962645,0.80521
luo,0.7891184,0.82035494,0.78916776,0.78543967,0.7960202
sna,0.79587674,0.7940558,0.79421765,0.7930707,0.7943052
tsn,0.79151624,0.8149822,0.7590847,0.78122926,0.7867031
wol,0.7758522,0.79184306,0.7621409,0.7634718,0.773327
zul,0.76755106,0.7835783,0.7693457,0.75107074,0.76788646
ibo,0.73888254,0.7589313,0.75925297,0.7508106,0.75196934
ewe,0.74953294,0.7591846,0.7392916,0.73088294,0.744723
pcm,0.74047935,0.7834848,0.7382221,0.7166314,0.7447044
bam,0.729554,0.757401,0.7361449,0.7551401,0.74455994
xho,0.7305866,0.7828572,0.7427087,0.7152212,0.7428434
twi,0.74356794,0.76130867,0.73860586,0.7275068,0.74274737
mos,0.74525356,0.75638,0.72968227,0.7229881,0.738576
hau,0.7210931,0.7656111,0.7336044,0.70071155,0.730255
yor,0.7209349,0.731727,0.7157761,0.71583724,0.7210688
swa,0.7171743,0.7468126,0.6990473,0.70489097,0.7169813
bbj,0.7022976,0.73306906,0.6960541,0.6959033,0.706831
fon,0.71454567,0.72280306,0.6914513,0.6859179,0.70367944
