,ORG,PER,DATE,LOC,Mean
lug,0.9940831065177917,0.9903590679168701,,0.9815286993980408,0.9886569579442342
kin,0.990959644317627,0.9875808954238892,,0.9871181845664978,0.9885529081026713
nya,0.9906623363494873,0.9863242506980896,,0.9855986833572388,0.9875284234682719
sna,0.9871602058410645,0.9859062433242798,,0.9878662824630737,0.9869775772094727
zul,0.9905429482460022,0.9818903207778931,,0.9747577905654907,0.9823970198631287
tsn,0.985767662525177,0.9809801578521729,,0.9756250977516174,0.9807909727096558
hau,0.9814416170120239,0.983022928237915,,0.9773167967796326,0.9805937806765238
luo,0.9797263145446777,0.9778391122817993,,0.9816603064537048,0.9797419110933939
xho,0.9884316325187683,0.9653710722923279,,0.983231246471405,0.9790113170941671
ibo,0.9691694974899292,0.9815678596496582,,0.9814085364341736,0.977381964524587
twi,0.9774768948554993,0.9711194038391113,,0.9776115417480469,0.9754026134808859
wol,0.9784879684448242,0.9713035821914673,,0.9704485535621643,0.973413368066152
mos,0.9702624082565308,0.9708301424980164,,0.9653696417808533,0.9688207308451334
ewe,0.9689285159111023,0.9626138806343079,,0.9628120064735413,0.9647848010063171
swa,0.9645419716835022,0.963175356388092,,0.9625874757766724,0.9634349346160889
bam,0.9431610107421875,0.9669287204742432,,0.9627760648727417,0.9576219320297241
yor,0.9547935724258423,0.9439921975135803,,0.9465417861938477,0.9484425187110901
pcm,0.935297429561615,0.9445374608039856,,0.9417695999145508,0.9405348300933838
fon,0.925408661365509,0.9481936693191528,,0.9479982852935791,0.9405335386594137
bbj,0.9327555894851685,0.9460290670394897,,0.8852587938308716,0.9213478167851766
