,LOC,ORG,PER,DATE,Mean
lug,0.9995889,0.9993121,0.9943615,0.99931586,0.9981446
nya,0.9993357,0.99898416,0.9943053,0.9993246,0.99798745
kin,0.9994517,0.9990639,0.99398977,0.99926275,0.99794203
sna,0.99929935,0.9989661,0.99351776,0.9993073,0.9977726
luo,0.99929893,0.9989375,0.99339783,0.99931604,0.9977376
tsn,0.99890524,0.9987873,0.99376744,0.99914193,0.9976505
zul,0.99882036,0.9983786,0.9941017,0.99869865,0.9974998
wol,0.99888283,0.9985915,0.99354,0.99887437,0.99747217
ibo,0.99871236,0.9980185,0.9932869,0.99840504,0.99710566
bam,0.9982532,0.99757755,0.9937728,0.99880135,0.9971012
twi,0.99832684,0.9980139,0.9941838,0.9978326,0.99708927
ewe,0.9983092,0.99789566,0.9938896,0.99809164,0.99704653
xho,0.99849266,0.99785256,0.99380463,0.9974061,0.996889
pcm,0.9984299,0.9980607,0.99302393,0.99788386,0.9968496
mos,0.99821156,0.9979309,0.9933014,0.99794066,0.9968461
swa,0.9969669,0.9973193,0.994808,0.9972964,0.99659765
hau,0.99813855,0.99759066,0.9933796,0.99695534,0.99651605
yor,0.997582,0.9974512,0.9929285,0.9974913,0.9963633
fon,0.9965204,0.99675894,0.9930942,0.99612844,0.9956255
bbj,0.9965578,0.9962836,0.99297476,0.9966095,0.99560636
