,LOC,PER,ORG,DATE
bam,0.9420337677001953,,0.9187042713165283,
bbj,0.8679537773132324,,0.943383514881134,
ewe,,0.9629349708557129,0.9357713460922241,
fon,0.9363061189651489,0.9561026692390442,0.9551135897636414,
hau,,0.9732672572135925,0.9651350378990173,
ibo,0.9251794815063477,,0.9592621922492981,
kin,0.8543407917022705,,0.9447345733642578,
lug,,0.9649764895439148,0.9656140804290771,
luo,,0.9638698101043701,0.9496852159500122,
mos,,0.9559068083763123,0.9629631042480469,
nya,0.9321306943893433,,0.9568040370941162,
pcm,0.9280088543891907,0.9660504460334778,,
sna,0.9323294758796692,0.9693863391876221,,
swa,0.9319583177566528,0.9721273183822632,,
tsn,0.9160841703414917,,0.9583510756492615,
twi,0.9290640354156494,0.9786683917045593,0.9713626503944397,
wol,0.9245554804801941,,0.9415075182914734,
xho,0.9070637226104736,0.9327433705329895,,
yor,0.838553786277771,,0.9507174491882324,
zul,0.910858690738678,,,
