,DATE,LOC,PER,ORG
bam,,0.9835052490234375,0.9886983036994934,0.9701675772666931
bbj,,0.9571816921234131,0.9904076457023621,0.9866347908973694
ewe,,0.9810009598731995,0.9867439270019531,0.9932384490966797
fon,,0.9786383509635925,0.9859141111373901,0.9886122941970825
hau,,0.9747574329376221,0.9852027893066406,0.9843550324440002
ibo,,0.9606067538261414,0.9893552660942078,0.9909092783927917
kin,,0.9864521622657776,0.9877534508705139,0.9914171099662781
lug,,0.9920154809951782,0.9781923294067383,0.9852412939071655
luo,,0.9909685850143433,0.9876102805137634,0.9711684584617615
mos,,0.9765866994857788,0.9849097728729248,0.9866763353347778
nya,,0.9779856204986572,0.9932245016098022,0.9853670597076416
pcm,,0.9850784540176392,0.9918392896652222,0.9823412895202637
sna,,0.9683342576026917,0.9885937571525574,0.9825053811073303
swa,,0.9908125996589661,0.9912958741188049,0.965927243232727
tsn,,0.9855030179023743,0.9905522465705872,0.98799729347229
twi,,0.9917536377906799,0.9918832182884216,0.9933638572692871
wol,,0.9694260358810425,0.9897875785827637,0.984045684337616
xho,,0.9671861529350281,0.9770511388778687,0.9820687174797058
yor,,0.9391850829124451,0.9840878844261169,0.98213130235672
zul,,0.9788939952850342,0.987716794013977,0.9870806932449341
